handle,rank,oldRating,newRating
peter50216,1,2683,2755
Dmitry_Egorov,2,2404,2484
Egor,3,2535,2579
RAVEman,4,2463,2509
bmerry,5,2158,2254
Al.Cash,6,2334,2392
gchebanov,7,2114,2213
liympanda,8,2337,2390
Myth5,9,1837,1989
wrong,10,2346,2393
TankEngineer,11,1996,2115
bayleef,12,2161,2242
watashi,13,2441,2458
v.haralampiev,14,2096,2189
-DMYTRO-,15,2012,2122
pooya_,16,1829,1979
YuukaKazami,17,2640,2598
Shik,18,2361,2387
it4.kp,19,1930,2055
XilinX,20,2212,2271
UESTC_Nocturne,21,2197,2258
ACRush,22,2490,2472
MinakoKojima,23,1893,2022
-XraY-,24,2256,2297
ramen-,25,2251,2291
Riatre,26,1838,1975
arosusti,27,1959,2070
yaro,28,2097,2173
hpfdf,29,1989,2091
xlk,30,2192,2240
Igor_Kudryashov,31,2138,2199
VArtem,32,2070,2148
Arterm,33,1760,1906
ChuckLin2014,34,2243,2270
MainDullMoeHand,35,1742,1889
gingkgo,36,1904,2019
craus,37,2048,2126
I_love_Nastya,38,2168,2211
logicmachine,39,1930,2036
yvasyliv,40,1955,2054
shangjingbo,41,2442,2396
victor_kamashev,42,2047,2119
chaemon,43,1722,1867
partisan,43,2092,2150
kelvin,45,2183,2211
roosephu,45,1858,1975
oimaster,47,2257,2257
AngryBacon,48,1820,1943
Belonogov,49,1928,2025
azizkhan,50,2053,2114
cheezer,51,1966,2051
dreamoon,52,2312,2283
guille,53,1984,2062
DamianS,54,2219,2221
YerzhanU,55,1878,1982
---Grigor---,56,1863,1970
olpetOdessaONU,57,1764,1891
flowlight,58,2154,2173
atetubou,59,1795,1914
Milanin,59,2289,2256
azaky,61,1821,1933
piob,62,1963,2038
ASPIRINKA,63,1701,1834
SamanSami,64,2098,2127
R_R_,65,2010,2066
sexyprincess91,66,2048,2091
uwi,67,2308,2261
qwaker.00,68,2004,2059
aropan,69,2154,2166
Marcin_smu,70,2061,2096
pewpew,70,2026,2073
kostya_by,70,1838,1939
zeliboba,73,2217,2190
Gassa,74,2245,2205
tian,75,1791,1899
kolesov93,76,2174,2160
mugurelionut,77,1778,1887
ziki,78,1829,1925
forifchen,79,2119,2122
White_Bear,80,2308,2255
valentin.harsan10,81,1724,1842
xhsong,82,1712,1831
duoxida,83,1773,1879
aa2985759,84,2124,2119
Hadi_Asiaie,85,2004,2042
climpet,86,1855,1938
916852,87,1770,1873
sweetsc,88,1802,1897
Hinidu,88,1778,1879
forest,90,2119,2108
liouzhou_101,91,1896,1963
vfleaking,92,1733,1840
akdal,93,1719,1828
HeroShadow,94,1733,1839
tuna_salad,95,2014,2037
S.Yesipenko,96,1886,1951
Di735,97,1774,1869
carber,98,1743,1844
sapalskimichal,99,1823,1905
malcolm,100,2048,2054
Archon.JK,101,2382,2308
nk.karpov,102,2153,2112
YX201314,103,1951,1989
lcch,104,1902,1955
AlexanderBolshakov,105,1802,1883
AndreySiunov,106,1925,1969
Mick,107,1940,1978
espr1t,107,2013,2024
tunyash,109,1904,1952
Ra16bit,110,2414,2330
HanzhongBall_Quanling,111,1824,1895
artyom.kazak,112,1702,1801
gen,113,1781,1862
cjtoribio,113,1797,1873
Komaki,115,2122,2080
handojo1,116,1742,1830
sths,117,1792,1867
Fcdkbear,118,2078,2049
lydrainbowcat,118,1922,1956
daizhenyang,120,1876,1923
KhaustovPavel,121,1960,1977
zzy,122,1730,1816
dianbei,123,1765,1842
Shtrix,124,1920,1949
kormyshov,125,1888,1927
zhanyl,126,1911,1941
hytirt,126,2141,2091
NALP,128,2229,2165
piotr.kukla,129,1917,1942
_LT_zyc,130,1842,1892
Ilya_MSU,131,1736,1814
KADR,132,2317,2238
LinKin,133,1811,1868
kickbutt,134,2012,1995
alexey.enkov,135,2100,2053
Spumote,136,1740,1813
shindo,137,1902,1925
LLI_E_P_JI_O_K,137,1929,1942
fenzhang,139,1943,1949
ftiasch,140,2284,2207
KarlisS,141,1887,1912
a_h1926,142,1813,1862
tuananh93,142,1798,1851
Scorpy,144,1761,1823
JalbaRu,145,1916,1927
pimpke,146,1913,1924
Breakun,146,1717,1789
Enterpaise,148,1865,1892
Avalanche,148,1897,1912
SkorKNURE,150,1870,1893
domhow,151,1715,1783
knightL,152,2103,2049
shubhanshu,153,1773,1825
