handle,rank,oldRating,newRating
Petr,1,2893,2965
Endagorion,2,2560,2663
mmaxio,3,2617,2693
OO0OOO00O0OOO0O00OOO0OO,4,2564,2643
tourist,5,3254,3201
Egor,6,2621,2678
YuukaKazami,7,2831,2841
sdya,8,2640,2688
ACMonster,9,2535,2607
Marcin_smu,10,2469,2556
Ra16bit,11,2497,2575
Burunduk1,12,2067,2266
Swistakk,13,2473,2555
DamianS,14,2327,2449
zylber,15,2017,2229
enot110,16,2252,2393
kcm1700,17,2362,2470
alpq654323,18,2352,2462
SirShokoladina,19,2553,2603
yeputons,20,2742,2736
niyaznigmatul,21,2617,2645
RomaWhite,22,2639,2658
WA_Auto,23,2038,2238
Haghani,24,2400,2488
TeaPot,25,2378,2472
Shik,26,2424,2503
savinov,27,2182,2335
I_love_Hoang_Yen,28,2450,2518
izrak,29,2437,2508
Xellos,30,2417,2493
lewin,31,2422,2495
dojiboy9,32,2278,2396
anta,33,2597,2608
Sarkin,34,1815,2070
Leoyu,35,1765,2031
vfleaking,35,2437,2500
LayCurse,37,2599,2602
kmjp,38,2331,2426
Nero,39,2220,2351
uwi,40,2570,2578
dj3500,41,2487,2524
zeliboba,42,2444,2495
maksay,43,2376,2450
adurysk,44,2161,2307
whd,44,2163,2309
zld3794955,46,2240,2358
vlad107,47,2362,2436
fruwajacybyk,48,2098,2263
gchebanov,48,2380,2446
KrK,50,2409,2462
qwaker.00,51,2119,2274
elsantodel90,52,1767,2025
ballon,53,2409,2458
Um_nik,54,2451,2483
snuke,55,2429,2468
qwerty787788,55,2618,2579
Nikitosh,57,2274,2370
kuviman,58,2468,2487
nono,59,2203,2323
fwm94,60,2120,2268
JeBeK,61,2306,2386
knightL,62,2244,2347
ItsNear,63,2224,2332
zerokugi,64,2232,2337
IlyaLos,65,2223,2330
Jaejoong,66,1884,2105
edorundo,67,2265,2354
I_have_many_girlfriends,67,1942,2145
tmt514,69,2438,2455
Kostroma,69,2498,2489
Im_too_old_for_this_shit,71,2103,2249
good_mood,71,2053,2217
shamir0xe,73,1922,2128
dancho,74,2197,2306
yutaka1999,75,2494,2478
piob,76,2452,2453
kolesov93,77,2245,2333
marspeople,78,2138,2266
aid,79,2396,2419
Salvare000,80,2082,2230
karanaggarwal,81,2135,2262
Temirulan,82,2041,2202
squarefk,83,2296,2357
tunyash,83,2258,2335
fenzhang,85,2164,2277
__math,86,2366,2394
subscriber,87,2685,2604
wulala,88,1902,2107
Kasia,89,1753,1997
pewpew,90,2498,2458
dreamoon,91,2234,2314
ami,92,2098,2231
jlahcejlot,93,2031,2189
Skird,94,2204,2294
syah,94,2083,2221
LHiC,96,2334,2365
sn23581,97,2014,2175
lnsuyn,98,1991,2160
yuusti,99,2120,2240
Breakun,100,2223,2299
BSBandme,101,2256,2317
catupper,102,2220,2296
yubowenok,103,2184,2274
aliasadiiii,103,2227,2299
izban,105,2514,2453
tabasz,106,2215,2290
IAmNotDaniil,107,2182,2270
kennethsnow,108,2198,2278
Enchom,109,2280,2323
Tehnar,110,2054,2192
sharph,111,2219,2288
zlzmsrhak,112,2067,2199
balakrishnan,113,1858,2063
mathlover,114,2189,2268
viv001,115,2000,2156
GrumpyKitten,116,2292,2322
camypaper,116,1990,2149
I_love_Alexandra,118,1886,2080
zxqfl,119,2313,2330
masha_and_beer,120,2135,2233
natsugiri,121,2191,2264
DEGwer,122,2467,2406
pawelek1,123,2040,2175
ItsLastDay,124,1788,2008
sweiss,125,2109,2214
Damon,126,2045,2176
vilcheuski,127,2179,2252
Silence_Walker,128,2057,2182
niquefa_diego,129,2365,2345
mareksom,130,2081,2195
_sunny,131,1841,2042
Gyosh,132,2049,2175
mkirsche,133,2216,2267
rng_58,134,2675,2573
Golovanov399,135,2163,2237
kickbutt,136,2488,2417
YakutovDmitriy,137,2158,2233
KungA,138,2220,2265
Baklazan,139,2414,2357
bluepichu,140,1963,2118
DPR-pavlin,141,2467,2398
svanidz1,142,2223,2263
Alex_2oo8,143,2571,2484
desert97,144,1908,2081
Sinner,145,2062,2174
Sampson,146,2197,2246
