handle,rank,oldRating,newRating
HELEN_KK,1,1633,1765
NVAL,2,1669,1777
VictorMChQ,3,1468,1694
forget,4,1692,1782
jaro3000,5,1500,1746
Abaddon,6,1610,1755
ivanovak,7,1533,1724
Koblyk,8,1689,1779
arti,9,1553,1732
hgminh,10,1628,1760
Miras321,11,1650,1766
Nikitosh,12,1664,1770
ljcc0930,13,1650,1765
Medina,14,1606,1750
mukulgupta,15,1695,1777
zakharvoit,16,1691,1776
egor-belikov,17,1665,1768
kagamiz,18,1620,1753
mendax,19,1663,1767
wil93,20,1618,1752
islamhamdi,21,1533,1719
HIR180,21,1655,1763
gridnevvvit,23,1633,1755
ocelopilli,24,1588,1739
Electronick,25,1609,1746
alex_tolstov,26,1574,1733
fidels,26,1539,1719
valih10,28,1641,1756
gotowork,28,1633,1753
.PEIN.,28,1611,1746
diego_v1,31,1660,1760
ComradePetr,32,1689,1767
Kondratev,33,1458,1679
accidentallygivenfuck,34,1624,1747
Berezin,34,1652,1756
yedong12,36,1509,1703
Crysis,36,1568,1727
wyh123,38,1699,1766
_Vadim_,38,1699,1766
PlayLikeNeverB4,38,1471,1684
F.L.K,38,1653,1754
Barsuk_Alexey,38,1691,1764
hoco,43,1494,1693
master_j,44,1539,1713
enhydra,45,1651,1751
llaki,46,1696,1762
tibi9876,46,1511,1700
AleksanderBalobanov,48,1643,1747
Orz_wzc,49,1500,1732
WAmaker,49,1625,1741
hotpepsi,51,1680,1755
sanjeev,52,1529,1705
zyf,52,1647,1746
Anastasko,54,1661,1749
dreamyyou,54,1664,1750
inker,56,1592,1727
theBlindMonk,57,1653,1745
Omelianenko,58,1544,1709
stostap,59,1684,1752
JWZH,60,1592,1726
GeLo,61,1679,1750
Ericcwang,62,1515,1696
innocentsty,63,1619,1733
looser,63,1460,1670
binwin20,63,1580,1721
shioshiota,66,1666,1744
Fbulatov,66,1686,1749
ypjie,68,1523,1697
nimloth,68,1667,1743
LuoTianYi,68,1679,1746
NegaTeeF,71,1695,1748
sebastianclaici,71,1597,1723
v1v3kn,73,1598,1722
Doxer,73,1491,1681
shtorm941,73,1607,1725
BandBandRock,76,1599,1721
BryantMark,77,1626,1729
AbandonZHANG,78,1696,1744
xeronix,79,1563,1708
ikbal,80,1600,1720
wowember,80,1567,1709
mareksom,82,1500,1722
lrb,83,1508,1685
arjunarul,84,1653,1732
kt-9,84,1601,1718
KevinTan,86,1639,1728
Renkai,87,1670,1735
dpfbop,88,1580,1710
CyberKasumi,88,1636,1727
sleepsort,90,1500,1719
npenate,90,1478,1670
BOBAS,92,1610,1718
zaitsev,92,1406,1633
fairylights,94,1540,1694
Excelsiour,94,1681,1733
sebasutp,94,1592,1711
bohuss,94,1540,1694
skrydg,98,1681,1732
Lepton_s,99,1603,1713
Nezzar,100,1598,1711
yunfanGetStart,100,1676,1730
candle,100,1354,1600
saodem74,103,1480,1666
kuskova,104,1682,1728
stp,104,1623,1716
Aiyuyan,106,1605,1710
PraveenDhinwa,106,1613,1713
amnsinghl,108,1687,1728
Ress,108,1380,1613
deepangupta91,110,1576,1700
batyrkhan14,111,1570,1698
Crazy_Programer,111,1500,1712
Adigha,113,1571,1697
PavelParhomenko,114,1611,1709
alpc72,115,1583,1700
XiaoDan,116,1645,1716
Jarekczek,116,1500,1711
artemohanjanyan,116,1679,1722
jainor,119,1688,1722
Fujun,119,1500,1709
jetoyrico,119,1698,1723
cacol89,119,1599,1703
Viu,123,1619,1707
mathhislife,124,1404,1622
alexyz,125,1549,1685
theia,126,1570,1692
panblazej,127,1500,1707
gleiz,128,1477,1656
winardi,129,1677,1715
denglaixian,129,1583,1694
gustavoatt,131,1356,1593
smx,132,1531,1676
wgh,133,1627,1704
rituranjna,133,1498,1663
LucasJA,135,1630,1704
Sanzee,136,1443,1638
devendrag,136,1531,1675
joker1569,138,1662,1708
conan_96,138,1581,1690
mips88,138,1602,1696
lmsavigne,141,1449,1639
SlovoPacana,141,1463,1646
acedpedped,141,1530,1673
cont,141,1658,1706
xiangel,145,1591,1690
Mosyagin,145,1412,1620
kabar,147,1484,1653
zyz913614263,147,1683,1707
hacker007,147,1494,1657
Welran,150,1500,1700
Ziklon,150,1475,1648
turkmen,150,1599,1690
pocztapirxa,153,1500,1699
zscc,154,1573,1681
hjd,154,1490,1653
dgt,154,1424,1623
koder_dima,157,1657,1699
LashaBukhnikashvili,158,1501,1656
ravst,158,1500,1697
Yamaki_Stazusa,158,1500,1697
NSV,161,1649,1695
SirAmin,161,1427,1622
Kazim,163,1681,1699
csuchenan,164,1591,1682
Shafaet,164,1694,1699
cojna,164,1638,1692
nisshy,164,1607,1686
ankit_ism,168,1596,1682
shovonshovo,168,1675,1696
musin.dmitriy95,170,1692,1696
nextgen,170,1470,1639
michaelalan,170,1577,1676
c0yot3,173,1621,1685
ThE_aLpHaBeAt,173,1515,1655
azlhust,173,1660,1691
math10,173,1455,1631
randrew,173,1694,1695
sami001,178,1418,1613
welter,178,1522,1656
AlexIlin,178,1483,1642
AmarBattulga,181,1573,1670
Ilya_Yakovlev,182,1506,1649
Mehrans,183,1670,1688
torus711,184,1578,1671
OmarEl-Mohandes,184,1610,1678
Love_red_cat,186,1438,1620
Logarithmic,186,1537,1658
otiliastr,186,1613,1678
Milad,186,1671,1686
migdal,190,1552,1661
dimatomp,190,1672,1684
t_mackz,190,1632,1679
MehrdadAP,190,1561,1663
anmtcel,194,1653,1680
Amir-L,194,1560,1662
Mare.S.Ephemeral,196,1589,1668
staszic3,197,1500,1684
julsa,197,1569,1663
kinkyboy,199,1436,1614
Jace_Beleren,200,1475,1631
11115456,200,1350,1570
471184555,200,1500,1684
Svyat,203,1607,1669
randomusername,204,1350,1568
abhineet08,204,1673,1677
crysoberil,204,1416,1604
BTX,207,1539,1651
EarlOfDitches,207,1620,1669
rafaelclp,209,1668,1675
bpa,209,1622,1669
aboulkheir,211,1335,1557
gvalentiny,211,1578,1660
ha1vanka,213,1482,1629
yzl_retry,214,1506,1638
fts96,214,1650,1670
nahian_002,216,1424,1603
longmenwaideyu,216,1518,1641
mahmoudhanafi,216,1569,1655
utkarsh,219,1615,1664
y.kemaev,220,1597,1660
Darooha,220,1674,1671
eipie,220,1512,1638
compiler_nai,223,1500,1676
Untitled,223,1533,1643
mzsh,225,1486,1626
I_love_Malika,225,1491,1628
lolo4ka,225,1472,1621
twocoldz,228,1472,1620
nemuru,229,1500,1674
rita23rita,229,1547,1645
Stolyarov,229,1512,1634
ko3a4ok,229,1395,1585
veziev,233,1649,1661
Saken,234,1691,1664
Player1_SERG,234,1585,1651
chameerawijebandara,234,1360,1565
201101050424,237,1598,1653
saikrishna17394,237,1492,1625
Erfan.aa,237,1583,1650
Farmer,240,1481,1620
ch0588,240,1500,1670
a88027180,242,1555,1641
pkq2006,242,1500,1670
ACMood,244,1605,1651
dragangabriel,244,1634,1655
bhadra,244,1500,1625
PlausibleDeniability,244,1642,1656
stupidbear,248,1446,1603
pratikzambani,248,1392,1578
woaishizhan,248,1618,1651
Wild_Hamster,251,1500,1667
Kira96,251,1610,1648
pooh,251,1479,1615
karanaggarwal,254,1470,1611
percywtc,255,1519,1627
Mes,255,1475,1612
Volan-de-Mort,255,1674,1653
xing89qs,258,1490,1616
xm950518,258,1463,1607
infwinston,260,1687,1651
Cucazek,260,1365,1560
aechavarria,262,1668,1650
huchikero,263,1568,1636
vinodreddy,264,1639,1646
kevindra,264,1387,1571
shishkov_is,266,1368,1560
0p9o8i,266,1375,1564
Bardia,268,1309,1526
Archer327,268,1375,1563
rob.kh,268,1634,1644
i_love_nam,271,1699,1655
maemual,271,1308,1524
ChaouS,273,1506,1617
sfarma_pietre,274,1695,1652
Hokein,275,1420,1583
ardmn,276,1356,1551
G4c4r0,276,1558,1629
sergileon,278,1643,1641
HSJMDMG,279,1373,1559
kw_udon,279,1526,1620
hirokazu1020,281,1570,1630
MrPapaya,281,1646,1640
Phlix,281,1497,1611
shrubb,284,1566,1627
JayYe,284,1333,1536
zakrevsky,286,1460,1596
