handle,rank,oldRating,newRating
anta,1,2928,3105
LHiC,2,3236,3287
Radewoosh,3,3246,3266
dreamoon,4,2433,2653
ikatanic,5,2642,2789
Endagorion,6,2676,2801
I_love_Tanya_Romanova,7,3045,3063
matthew99,8,2828,2894
yosupo,9,2834,2891
MainDullMoeHand,10,2595,2709
zemen,11,2852,2891
mcfx,12,2659,2743
laofudasuan,13,1960,2252
tun,14,2653,2728
Chmel_Tolstiy,15,2692,2752
Rafbill,16,2325,2482
mmaxio,17,2544,2636
Shik,18,2777,2803
Tinsane,19,2441,2553
al13n,20,2918,2901
bmerry,21,2823,2827
248926,22,2054,2273
Kmcode,23,2265,2414
Shayan,24,2221,2380
JeBeK,25,2178,2347
sunjam,26,2138,2316
amethyst0,27,2459,2541
Petr,28,3146,3048
Egor,28,2663,2686
cdsfcesf,30,2022,2228
cephian,31,2010,2217
ecnerwala,32,2786,2772
I_hate_ACM,33,2329,2433
SmallBoy,34,2235,2363
Dream-Reality,35,2054,2237
JOHNKRAM,36,2528,2571
sd0061,37,2626,2642
kajebiii,38,1935,2153
LaPlus,39,2158,2299
Orenji.Sora,40,2139,2284
BigBag,41,2280,2381
Reyna,42,2759,2733
kmjp,43,2580,2597
Benq,44,2492,2530
Vercingetorix,45,2528,2555
dotorya,46,2611,2615
jonathanirvings,47,2406,2462
chitanda,48,2191,2306
zeliboba,49,2693,2672
ugly2333,50,1923,2123
geniucos,51,2477,2507
lewin,51,2608,2604
Andrew_Makar,53,2288,2367
aid,54,2746,2705
Chenwystc,55,2011,2172
kevinsogo,56,2336,2398
rajat1603,57,2588,2583
qoo2p5,58,2354,2408
t90tank,59,2331,2390
SmsS4,60,2011,2164
AngryBacon,61,2661,2633
step_by_step,62,2217,2304
Van,63,1959,2126
AndreiNet,64,2300,2361
woqja125,65,2252,2325
ivan100sic,66,2180,2272
nhho,67,2221,2300
cyand1317,68,2393,2424
luoruixuan,69,2254,2322
asi1024,70,1985,2134
MicGor,71,2101,2211
No_idea_,72,2064,2185
hohomu,73,2189,2271
HamidK,74,1968,2118
Worg,75,1967,2117
doooodle,76,2010,2144
I_hate_politics,77,2009,2142
architkarandikar,78,2155,2241
wiwit,79,2263,2317
SssssssssssssbbbBBBB,80,2073,2182
Andrei1998,81,2433,2441
KrK,82,2465,2463
diswizetionallities,83,2024,2145
HbFS-,84,2063,2171
Totoro,85,2236,2292
natsugiri,86,2751,2676
Shef,87,2454,2451
eilx2,88,2168,2240
zscoder,89,2462,2455
khadaev,90,2475,2464
fetetriste,91,2098,2188
andwho,92,2104,2191
KrewZh,93,2000,2119
whzzt,94,1997,2116
akovski,95,2122,2201
niquefa_diego,96,2045,2147
paulinia,97,1951,2083
square1001,98,2102,2184
riantkb,99,2093,2177
BlackGiraffe,100,1960,2086
jacobtpl,101,2070,2159
King_George,102,2659,2594
lajiniunai,103,2306,2327
satyaki3794,104,2270,2300
Megumi_,105,1917,2054
Amayoneko,106,1968,2086
guille,107,2082,2163
ErdemKirez,108,2341,2349
wakaka,109,2307,2323
majk,110,2372,2370
193s,110,2003,2105
__W__,112,2105,2175
egor.lifar,113,2255,2282
Lollipop,114,1962,2075
Marcin_smu,115,2562,2511
Mariusz1,116,2443,2420
nwi,117,1972,2080
Constantius,118,2328,2332
284914869,119,1936,2054
V--o_o--V,120,2977,2826
guoyu1098,121,2253,2274
Tima,121,2506,2464
gamegame,123,2010,2099
C_SUNSHINE,123,2427,2402
jtnydv25,123,1972,2073
Ra16bit,126,2484,2444
matrix,126,2230,2254
BudAlNik,128,2395,2376
_rqy,129,2061,2131
FCB1234,130,2188,2221
--d,131,2554,2494
Mohammad.Sj,131,2035,2111
voidmax,133,2516,2465
SirRembocodina,134,2264,2274
yasugongshang,135,1985,2074
Perforator,135,2458,2419
ParsaA,137,2087,2144
Rafiki53,138,2173,2205
Ali.Sh,139,2133,2175
vlecomte,140,2169,2201
sokian,141,2480,2433
fofao_funk,142,2071,2129
dujunyi,143,2145,2181
Ilya_MSU,144,2452,2408
polingy,144,2036,2101
fram,144,2134,2171
savkinsd2089,144,1918,2022
zoomswk,148,2286,2280
jufusong,148,2236,2242
robinyu,148,2321,2306
DmitryGrigorev,148,2059,2114
espr1t,148,2165,2190
Dozebear,153,2071,2121
TeaPot,153,2710,2602
Motarack,155,2311,2297
Klungs,156,1926,2021
victoragnez,157,2151,2176
knightL,157,2380,2348
MauricioC,159,2248,2247
wrinx,159,2187,2202
Marco_L_T,161,2096,2134
shananton,161,1942,2027
TangentDay,161,1972,2047
Ahmad_Elsagheer,164,2311,2292
nikabb,165,2137,2161
dy0607,165,2199,2207
SakurakoujiRuna,165,2151,2171
hank55663,168,2313,2291
Minority169,168,1998,2061
2013300262,170,1957,2033
kobortor,171,1969,2040
cerberus97,172,2050,2095
chemthan,172,2442,2387
victorsenam,172,1960,2032
h_noson,175,1919,2004
ucup,176,2021,2073
sky58,177,2299,2277
petrescu,178,1975,2039
ania,178,2392,2346
kb.,180,2228,2221
Logsha,181,2121,2141
peehs_moorhsum,181,2337,2303
noxwell,183,2166,2174
damien_g,184,2218,2212
kingofnumbers,185,2254,2238
JustasK,185,2546,2460
Nero,185,2481,2411
madshuttlecock,188,2150,2159
mbrc,188,1983,2039
Mateuszrze,190,1900,1981
Balajiganapathi,190,2261,2241
FMota,190,1986,2040
irkstepanov,193,2405,2348
jasonyik,193,2004,2050
kimiyuki,193,2146,2152
2018findgirlfriend,193,2078,2103
marX,197,2442,2375
Dani,197,1980,2032
kobae964,197,2137,2144
kulpet345,200,2020,2058
Light,200,1975,2027
rudy102,202,2452,2381
reality420,202,2285,2254
bixind,204,2185,2176
natalia,204,2286,2253
YvesCjl,204,2178,2171
Andreikkaa,207,2047,2074
Mogby,207,1969,2019
alex9801,209,2041,2069
Alexandr_TS,210,2088,2102
wa1tz719,210,2137,2138
ajs97,212,1956,2007
Rydberg,212,2063,2083
Azat_Yusupov,212,2032,2060
WA_TLE,215,2120,2124
MrKaStep,216,2083,2096
shb123,217,2178,2165
tjw_girlfriend,217,2233,2207
ericxu0,217,2161,2152
Vanek,217,2017,2047
femto16,221,1923,1981
adamant,222,2120,2120
shadowatyy,222,2217,2193
_Reborn_,224,2039,2060
JasonHsiao,224,2115,2116
ez_zjt,226,1927,1980
LochNess,226,2130,2126
k__mas,228,2066,2078
ShadowLight,229,1987,2020
xht13127,229,1973,2010
cxt,229,1914,1969
darkkcyan,232,1945,1988
tqyaaaaang,232,2215,2187
lsmll,232,2048,2062
livio,232,1924,1974
Markellonchik,236,2070,2077
triploblastic,237,2116,2110
Taube,237,2222,2191
mahathirichiro,239,1958,1995
chenmark,239,2173,2153
thedark,241,1944,1985
Savaw,242,1938,1980
aitch,243,2460,2372
lchi1997,243,2204,2174
khokho,243,2009,2029
JoishBadeR,246,1943,1981
Zash,246,2101,2095
konmaj,248,1929,1971
ctlchild,249,1902,1952
GG.jpg,250,1994,2016
Mohammad_Yasser,251,2085,2082
williamchen,252,1925,1965
teja349,252,2052,2056
JKS_PL,252,2098,2090
gigime,255,1955,1985
pitfall,255,2179,2151
okaduki1,257,2042,2047
noor049,257,2168,2142
sokokaleb,259,2197,2163
mshcherba,260,1914,1954
Zrj,261,1932,1966
Adalbert,262,1921,1958
__stdcall,262,2097,2086
lzy,264,1900,1942
Kaban-5,264,2627,2495
danya090699,266,2065,2060
Daniar,267,1977,1995
jianzhi,268,1950,1975
ultmaster,268,1983,1999
SebinKim,270,2110,2093
Togekiss,271,1904,1942
..................,272,2120,2100
Mindstorm,273,2018,2022
GoogleBot,274,2088,2075
liutianyi000,275,2034,2033
eudanip,276,1928,1956
sjtsjt,277,1977,1991
keko37,278,1906,1940
HouJikan,278,1981,1993
chenjb,280,2049,2042
behzad.nouri,280,2025,2024
Batman,282,2378,2295
radoslav11,283,2263,2205
tanzaku,284,2105,2083
Akinorew,285,1914,1942
gpita,286,1957,1972
sajal_,287,2030,2025
Hec,288,2111,2086
Kerpoo,289,1902,1932
manoprenko,290,2144,2110
sigkill-uw,290,2003,2004
Mahdi_Jfri,292,1972,1980
SpoonsAN,292,1960,1971
Carups,294,2013,2010
latte0119,295,2673,2523
Goofy57,296,1968,1976
kissgergely,297,2008,2004
fkount,297,1961,1970
xpchf,299,1916,1937
wucebrayne,300,1910,1932
TusanHomichi,301,2002,1998
Jakube,302,2137,2101
Mohammad_kilani,303,1931,1946
PlayWithWind,304,2174,2129
ascchrvalstr,305,1948,1957
mathsux,306,1979,1979
unused,307,2615,2474
Jatana,308,2040,2025
The_Unbeatable,309,1949,1956
Fekete,310,1962,1965
EnjoyCallen,311,2047,2029
shjgkwo,312,2036,2020
fluffyowl,313,2014,2003
Baklazan,314,2406,2307
vilim_l,315,1922,1934
TINH_LANG,316,2143,2100
aidos,317,2456,2346
JATC,318,1996,1987
