handle,rank,oldRating,newRating
Um_nik,1,3179,3286
Errichto,2,2466,2716
scott_wu,3,2992,3071
Reyna,4,2540,2722
matthew99,5,2585,2739
qwerty787788,6,2804,2887
I_love_Tanya_Romanova,7,2685,2789
LHiC,8,3148,3114
Golovanov399,8,2813,2866
step_by_step,10,2534,2652
uwi,11,2596,2691
Swistakk,12,2820,2851
aid,13,2624,2700
anta,14,3106,3053
zscoder,15,2644,2705
DPR-pavlin,16,2441,2550
DarkestLight,17,2655,2704
tqyaaaaang,18,2719,2747
Fedosik,19,2093,2292
eds467,20,2784,2788
AeonHQ,21,2404,2503
natsugiri,22,2492,2564
KrK,23,2670,2693
fsouza,24,2555,2605
Radewoosh,25,3217,3098
radoslav11,26,2355,2452
_rqy,27,2299,2408
RomaWhite,28,2851,2815
NJ2018,29,2377,2460
mareksom,30,2766,2746
amit_swami,31,2388,2463
krijgertje,32,2881,2828
dreamoon,33,2715,2701
phongthan,34,2281,2378
xolm,35,2195,2316
wakaka,36,2229,2337
Xellos,37,2366,2434
vlecomte,38,2349,2419
mjhun,39,2530,2551
ecnerwala,40,2801,2752
voidmax,41,2460,2495
adamant,42,2166,2282
KADR,43,2271,2354
Franklyn_W,44,2199,2301
OhWeOnFire,45,2380,2429
Arthur,46,2346,2403
kevinsogo,47,2537,2542
alex9801,48,2369,2416
tlwpdus,49,2416,2449
2222,50,2328,2383
Arterm,51,2667,2634
ErdemKirez,52,2145,2250
Dream-Reality,53,2276,2341
mango_lassi,54,2153,2253
MrDindows,55,2842,2760
pavel.savchenkov,56,2357,2396
superguymj,57,2146,2244
Chenwystc,58,2308,2358
zhongzihao,59,2314,2361
kaldiuo,60,2270,2327
nhho,61,2497,2493
mcfx,62,2922,2812
Grzmot,63,1954,2109
V--o_o--V,64,3007,2874
danya090699,65,2185,2261
nikabb,66,2241,2299
vmrajas,67,2005,2136
--d,68,2561,2534
Ra16bit,69,2563,2534
Nero,70,2169,2244
_SHENZHEBEI_,71,2246,2297
bk2dcradle,72,2091,2187
maximumSHOT,73,2355,2374
wzporz,74,2143,2221
irkstepanov,75,2390,2398
MicGor,76,2218,2272
teja349,77,2469,2455
dragonslayerintraining,78,2106,2191
Taube,79,2152,2222
isaf27,80,2305,2331
ekzhang,81,2255,2293
Motarack,82,2238,2280
DarthPrince,83,2299,2323
RDDCCD,84,1954,2084
tfg,85,2236,2276
gcz,86,1980,2099
Filyan,87,2134,2200
imeimi,87,2132,2199
dark_n8,89,1929,2063
beginend,90,2127,2193
WA_TLE,91,2455,2432
Farhod_Farmon,92,2222,2259
prof.PVH,93,2208,2248
yasugongshang,94,2477,2446
alex_Harry,95,2278,2297
fpdqwq,96,2039,2128
hzq84621,97,2142,2198
fastcoder,98,2224,2255
hitman623,99,2009,2105
georgerapeanu,100,2028,2117
naumazeredo,101,1952,2066
zyding,102,2323,2325
Cydiater,103,2131,2185
BSBandme,104,2357,2348
..................,105,2241,2262
gisp_zjz,106,2313,2314
miseri,107,1932,2048
Jakube,108,2116,2170
rumblefool,109,1940,2051
cristb,110,1909,2031
Miyukine,111,2156,2196
slicedclementines,112,2047,2119
jma127,113,2062,2129
ushakov.fedor,114,2133,2177
xuanquang1999,115,2214,2235
yuma_,116,2108,2158
Noam527,117,2219,2237
misael,118,1956,2054
Numb,119,2060,2123
khokho,120,2164,2195
guille,121,2048,2113
Jeel_Vaishnav,122,1952,2048
Dimon,123,1969,2058
Nots0fast,124,2172,2198
yuyinohama,125,2092,2140
Vladyslav,126,2453,2406
Kurpilyansky,127,2306,2294
Juve45,128,2001,2076
Endagorion,129,3042,2851
Mateuszrze,130,2318,2301
sincerelyyin,131,1983,2062
BudAlNik,132,2518,2451
JKS_PL,133,2157,2181
AhmadHaulianYogaPratama,134,2104,2142
ei133333,135,2160,2182
progmatic,136,2131,2160
Nasic_number_one,137,2122,2153
yp155136,138,2072,2117
lessmeaning,139,2108,2142
hank55663,140,2137,2162
Wild_Hamster,141,2183,2194
TripleM5da,142,2136,2160
pllk,143,2303,2282
satanic0,144,2022,2078
pekempey,145,2359,2323
edisonhello,146,2116,2143
elizarov,147,2088,2122
apink,148,1903,1997
kr_abhinav,149,2123,2146
___tutis___,150,1928,2012
SmsS4,151,2204,2204
lucasr,152,2072,2108
neal,153,2197,2197
Hasan0540,154,2199,2198
muratt,155,2483,2412
Rawnd,156,1982,2043
monsoon,157,2111,2132
SoMuchDrama,158,2131,2146
ZeroTwo,159,1919,2000
TonySnark,160,2144,2154
duality,161,1967,2030
egor.lifar,162,2367,2320
VladProg,163,2124,2138
sqrtdecompton,164,2205,2197
subconscious,165,2325,2287
Malinovsky239,166,2043,2079
cheetose,167,2038,2075
brandonzhang,168,2019,2061
TangentDay,169,2341,2297
vbobrov,170,2038,2073
mshcherba,171,2037,2071
Tom--CCS,172,2001,2046
cerberus97,173,2179,2173
minblue,174,2077,2098
fsshakkhor,175,1998,2042
sheepp,176,2078,2097
ajinkya1p3,177,2102,2114
henryx,178,1994,2037
hohomu,179,2305,2265
vsp4,180,2013,2049
djm03178,181,1952,2007
RobeZH,182,2082,2097
yashChandnani,183,2187,2173
kb.,184,2265,2232
fruwajacybyk,185,2197,2180
Arpa,186,2173,2161
balakrishnan,187,2000,2036
train_driver,188,1926,1985
-Wave-,188,2104,2109
kobae964,190,2412,2341
jtnydv25,191,2256,2222
AlanC,192,2124,2122
yveh1999,193,2202,2180
Marckess,194,2038,2059
fedoseev.timofey,195,1967,2008
_Ash__,195,1987,2022
TiChuot97,197,2089,2094
adamczh218,198,1902,1963
ktuan,199,2098,2099
Ashishgup,200,2204,2178
Deamon,201,1994,2024
Roundgod,202,2147,2134
STommydx,203,2063,2072
abhishek_saini,204,2100,2098
PikMike,205,1983,2014
ahcl123123,206,1988,2016
extraterrestrial_,206,2084,2085
2014CAIS01,208,1965,2000
KhaleD_,209,1984,2012
Mustang98,210,2010,2030
FLDutchman,211,1933,1976
SAeed,211,1939,1980
DmitryGrigorev,213,2276,2227
Powerslave,214,2003,2023
metatron,215,2071,2071
NirShalmon,216,1901,1952
Nson,217,1997,2017
SaveVMK,218,2156,2133
Ahmad1,219,1999,2017
abisheka,220,2102,2092
miaom,221,2282,2228
kmjp,222,2454,2361
vosptu,223,2366,2292
MegaBidoof,224,2134,2113
sparkuggz,224,2122,2104
perekopskiy,226,1921,1959
ltaravilse,227,2164,2135
f321dd,228,1941,1972
RamTararam,229,2161,2131
Ekler,229,2003,2014
arthurCF,231,2188,2151
Sergey.Bankevich,231,2107,2089
Antoine,233,1966,1987
LeCaRiBoU,234,1981,1997
Ahmad_Elsagheer,235,2258,2204
satja,236,2005,2013
darkkcyan,237,2161,2128
ShivRam,238,2100,2081
sinus_070,239,2087,2071
Thiagohnc,240,1983,1994
ParkShinHye,240,2009,2013
EtoNagisa,242,1993,2001
FallenTurret,243,2153,2120
sansae,244,1919,1948
iakovlev.zakhar,245,2014,2015
Kaildls,246,2102,2079
cuber2460,246,2534,2414
Temirulan,248,2325,2251
shanin,249,1946,1964
ialakhtin,250,2212,2162
Svlad_Cjelli,251,2260,2199
gs15120,252,1923,1946
Slaaava,253,2022,2016
HackerTina,254,1996,1996
Krisha,254,1963,1973
bgrm,256,1954,1966
splucs,257,2007,2003
espr1t,258,2273,2206
