handle,rank,oldRating,newRating
Petr,1,1775,1891
ilyaraz,2,1500,1720
RAVEman,3,1655,1813
vlad89,4,1644,1803
ilyakor,5,1762,1876
vepifanov,6,1766,1871
winger,7,1500,1708
dzhulgakov,8,1500,1714
ktuan,9,1500,1711
Zhukov_Dmitry,10,1665,1808
Anton_Lunyov,11,1634,1786
RAD,11,1747,1850
LayCurse,13,1609,1768
soundsdx,14,1577,1748
2222,15,1694,1812
Michael,16,1500,1698
ItsNear,17,1500,1697
Gassa,18,1673,1794
nima,19,1500,1694
Seyaua,20,1578,1739
ashmelev,21,1500,1691
monsoon,22,1636,1767
Nerevar,23,1758,1828
izbyshev,24,1648,1769
ir5,25,1598,1741
gawry,26,1500,1683
rajatgoel,27,1615,1746
ivan.popelyshev,27,1746,1800
wata,29,1671,1773
nevidomy,30,1556,1711
ulandev,31,1500,1677
spartac,32,1522,1689
balroginfire,33,1682,1758
Fefer_Ivan,34,1577,1716
imazato,35,1500,1664
those,35,1605,1729
Steps09,37,1558,1703
jaaro,38,1500,1661
keleffe,39,1500,1668
lukasP,40,1479,1656
Astein,41,1528,1679
Efgen,42,1668,1744
mirac,43,1500,1656
sdya,44,1571,1696
venkateshb,45,1658,1729
piratic,46,1500,1655
kefir,47,1500,1653
xhae,48,1612,1705
Egor,49,1615,1705
blackdog,50,1390,1586
tanakh,51,1544,1670
vot,52,1500,1644
Soultaker,53,1598,1692
EmK,54,1619,1699
yiuyuho,55,1678,1722
aropan,56,1632,1701
Saeed_Reza,57,1748,1743
gojira,58,1575,1673
knightry,59,1500,1633
UC2,60,1564,1664
NALP,60,1583,1673
Alex_KPR,62,1653,1698
AndrewLazarev,63,1651,1696
felix_halim,64,1500,1626
fbarl,65,1551,1641
gmark,66,1537,1644
KirillB,67,1561,1653
Lepetrandr,68,1610,1672
it4.kp,69,1665,1691
Nyatl,69,1505,1624
Lynncui,71,1579,1654
z__jj,72,1500,1591
Gerald,73,1549,1638
nostop,74,1383,1539
domeng,75,1500,1612
sidky,76,1614,1661
rocket323,76,1590,1652
dimozzz,76,1500,1611
Pratham,79,1500,1606
dened,79,1622,1659
SGulyaev,79,1494,1594
Sergey.Bankevich,82,1595,1645
mr146,83,1500,1514
syboy,84,1569,1603
Babushkin,85,1404,1540
zjut020,85,1411,1555
indy256,87,1604,1643
hpfdf,87,1590,1623
yjulica,89,1652,1657
wcwswswws,90,1534,1581
vlady,91,1623,1644
vexorian,92,1547,1615
Kenny_HORROR,93,1583,1594
niyaznigmatul,94,1519,1559
Tanaeem,94,1564,1606
S.Yesipenko,96,1555,1601
valergrad,97,1500,1589
mythic_bat,98,1500,1588
gaewah,99,1500,1573
dmitrydyatlov,99,1529,1587
howie,101,1460,1566
sepcity,101,1500,1568
ashok.vijay,103,1360,1492
goo.gl_SsAhv,104,1680,1645
xyz666,105,1500,1580
avictor2010,106,1500,1539
ProjectYoung,107,1551,1598
11fingers,108,1514,1542
shindo,109,1375,1507
AngelClover,109,1440,1533
arxor,111,1500,1568
Moonfang,112,1500,1558
SuBaRaSi,113,1597,1590
Hadi_Asiaie,114,1500,1553
DarthBeleg,115,1492,1548
kita_masa,116,1451,1540
steiner,117,1590,1550
Igel_SK,118,1436,1520
Fcdkbear,119,1561,1581
Shafer,120,1453,1510
lcqbest,121,1500,1553
Pawa,122,1500,1526
VUAcoder,122,1353,1471
frost_nova,124,1604,1581
kiseljovkn,125,1500,1544
dAnton,126,1500,1536
eduard.piliposyan,127,1639,1584
armant,128,1432,1491
Charles_Chen,129,1500,1517
Mehrdad,130,1500,1530
Nedy88,131,1500,1538
kabir.sohel,131,1500,1526
Ruslan,133,1389,1474
tec,134,1407,1493
nsupower,135,1500,1532
DStepanenko,136,1584,1557
MRoizner,137,1500,1515
Dasha,138,1500,1512
PanZverski,139,1584,1547
xiaowuc1,140,1452,1494
arti,141,1522,1518
pavel.chadnov,142,1500,1508
buko,143,1559,1526
cjoa,144,1500,1505
rankalee,144,1387,1428
dan.mol,144,1500,1471
maos,147,1526,1513
Mokin_Alexandr,147,1437,1480
Retroman,149,1500,1461
jsego6,149,1500,1500
dinkeza,151,1500,1498
mustafij,151,1509,1503
mkut,153,1428,1434
ManalSadek,154,1500,1495
winterflame,154,1422,1466
altsyp,154,1500,1455
darkstar1863,157,1500,1492
mikhailOK,157,1643,1562
suneast,157,1500,1450
---Grigor---,157,1500,1492
at1,161,1644,1561
Deamon,161,1513,1494
mariusd,163,1647,1551
enoyhs,164,1504,1447
hyon,164,1406,1449
Edvard,164,1594,1524
schindlerlee,164,1405,1448
cyph1e,168,1524,1489
MuratKhayrulin,168,1500,1427
tanzaku,170,1515,1451
ahmed_thabet,170,1500,1479
Mahdi,170,1580,1512
karpinski,173,1500,1438
gerasimovd,174,1500,1476
yayamao,175,1568,1502
iensen,176,1448,1456
dev_il,177,1433,1370
SyFy,177,1500,1471
empe,179,1500,1467
mad_potty_head,179,1500,1467
maksay,179,1500,1467
thorikawa,182,1500,1433
Vasya.V,182,1505,1466
Mohamad.Abdelmonem,184,1429,1436
LiverR,184,1500,1432
moggiozzi,186,1464,1448
bubnov,187,1378,1314
Harta,187,1500,1455
fegla,189,1510,1456
vici,189,1379,1375
ozirisdev1,189,1500,1423
mdldml,192,1500,1431
ahmedkotb,193,1500,1430
pablo.aguilar,193,1409,1418
abhijith,195,1500,1447
pt1989,196,1566,1480
skim,197,1409,1358
duolon,198,1538,1469
ShadowDancer,198,1500,1443
OutSide,198,1472,1401
naagi,198,1500,1443
Salat,202,1382,1396
skorpublic,202,1500,1440
Perim,204,1338,1308
Jens,204,1406,1403
slycelote,206,1641,1534
anuar_721,206,1402,1399
turuthok,206,1478,1427
galymzhan,206,1500,1437
Mex-Mans,206,1500,1437
riad,211,1317,1350
liuzhe1117,212,1500,1426
Katran,213,1546,1469
luckyi,214,1500,1433
xxs2010,215,1500,1432
kolya37,216,1500,1423
Nick,217,1260,1306
chebanov,217,1569,1483
ZyxSlender,217,1517,1436
AndreySiunov,220,1472,1409
anhdt,220,1553,1470
jaey,220,1500,1429
Melamori,220,1402,1378
random.johnnyh,224,1500,1405
Xorand,225,1441,1364
koshka,225,1500,1414
mostafa.saad.fci,227,1500,1426
alelux,228,1500,1425
fujiyama,229,1497,1423
alexander.musman,230,1644,1534
Scalar,230,1481,1411
MikhailRubinchik.ru,232,1500,1411
albashkin,232,1500,1423
SinaZK,234,1500,1415
Anurag,235,1390,1335
VArt,236,1416,1353
0re1,237,1500,1421
Ferlon,237,1500,1413
Kasparyan_Mikhail,239,1500,1404
komiya,240,1408,1346
AhmedNasser,240,1500,1420
cfc,242,1441,1375
mohamed.gaber,243,1413,1354
Fixeg,243,1394,1344
ahmed_aly,243,1530,1443
rdomj,246,1500,1406
tygrysek,247,1386,1329
jiangweiqi,247,1464,1379
ramil,249,1398,1342
makagonov,249,1539,1449
Notforgetbutnew,251,1597,1490
nehalem,252,1500,1417
Dimko,253,1390,1330
dnephin,254,1500,1413
ManS,255,1399,1334
rid1,256,1422,1350
sahiltiwari,257,1500,1411
ridowan007,258,1500,1408
kostya2vntu,259,1571,1469
LiverD,260,1401,1337
