handle,rank,oldRating,newRating
vepifanov,1,2661,2747
subscriber,2,2603,2671
RAVEman,3,2551,2613
ztxz16,4,2421,2501
anta,5,2221,2344
acherepanov,6,2134,2275
mmaxio,7,2507,2557
kcm1700,8,2343,2429
Bobik,9,2391,2464
kuviman,10,2281,2380
knightL,11,2312,2402
RNS,12,2100,2244
I_love_Tanya_Romanova,13,2222,2333
gchebanov,13,2289,2382
adurysk,15,1956,2134
data_h,16,2389,2451
betaveros,17,2231,2335
Petr,18,2720,2685
CaliburianC.C.,19,2225,2328
WhitedarkWalker,20,2019,2178
Bugman,21,2204,2311
.o.,22,2271,2357
SirShokoladina,23,2410,2455
wannafly,24,2008,2166
ikatanic,25,2431,2466
wjh720,26,2020,2174
vlad107,27,2366,2417
kybconnor,28,2041,2187
tunyash,29,2118,2241
this_isssssyy,30,2285,2357
ilyakor,31,2384,2423
izban,32,2493,2494
sevenkplus,33,2366,2408
ramen-,34,2407,2434
Komaki,35,2311,2368
Kurpilyansky,36,2332,2381
gediiiiiii,37,2105,2225
zhanyl,38,1953,2116
kickbutt,39,2105,2223
snuke,40,2133,2241
nfssdq,41,1866,2049
cmd,42,2246,2316
ssmike,43,2092,2210
dreamoon,44,2485,2465
HUST_LAZ,45,1875,2053
Gullesnuffs,46,2406,2413
infrmtcs,47,2178,2265
namonakiaccount,48,2123,2227
znirzej,49,2016,2153
gs12117,50,2273,2324
PattS,51,2228,2293
andrew.volchek,51,2006,2144
Rivx,53,2109,2213
Astein,54,2289,2329
liouzhou_101,55,1920,2080
W4yneb0t,56,2281,2321
pewpew,57,2321,2344
Sammarize,58,2018,2147
ecnerwala,59,2276,2314
kuangbin,60,2059,2173
TeaPot,60,2359,2363
marspeople,62,2058,2171
zanoes,62,2193,2259
prof.PVH,64,2016,2141
niquefa_diego,64,2218,2272
WHITE2302,66,1954,2097
Shef,67,2186,2249
KrK,67,2301,2319
GrumpyKitten,69,2069,2172
Oyk,70,1841,2012
flashmt,71,2136,2214
TsunamiNextYear,71,2041,2152
Orfest,73,2386,2358
laoriu,74,1899,2052
bdzl,75,1986,2112
cgy4ever,76,2491,2429
Xellos,77,2317,2315
