handle,rank,oldRating,newRating
geekcc,1,1500,1685
Picks,2,1638,1736
KJBS2,3,1675,1754
zhengweijian,4,1655,1743
vsokolov,5,1658,1744
shadonra,6,1438,1618
I_so_sad,7,1529,1674
cxwdnyd,8,1694,1759
wwwsealss,9,1635,1731
vensinte,10,1567,1694
LoveYY,11,1601,1712
mc_mosa,12,1694,1756
keyvankhademi,13,1636,1728
hxxxxxxx,14,1623,1721
anleb96,15,1514,1661
SOUDAYO,16,1641,1729
HelloFdu,17,1500,1678
Googlefrog,18,1500,1678
YaphetS_Pis,19,1500,1678
SkyDec,20,1679,1744
sss2391267,21,1585,1698
moji,22,1607,1709
kuangbin7,22,1500,1676
Totktonada,24,1631,1719
gtwgtw,25,1500,1675
juver,25,1582,1694
Salvare005,27,1500,1674
yermak0v,28,1680,1740
rowanhao1,29,1667,1733
2009,29,1500,1673
tankche1,31,1679,1737
Ringod,32,1669,1732
Mario88,32,1607,1703
Altria-PenDragon,34,1608,1702
JHD20052008,35,1420,1593
Dark_flame,36,1590,1692
TangSiLoveDingYing,36,1500,1670
killerfear,38,1539,1664
sth1997,38,1669,1728
wind1900,38,1527,1658
weekend1997,41,1584,1686
dashuiren,42,1500,1667
death1048576,43,1500,1667
qazwsxedcrfvtg14,43,1697,1736
R6044,45,1695,1734
ouhuihao,45,1517,1649
darkdream,47,1506,1642
meijun,48,1644,1711
Ruki,49,1698,1733
daidao,50,1658,1716
ihave33cm,51,1676,1722
hiyot618,52,1577,1677
momogou,53,1500,1663
IIIIIIIIIIIIIIIIIIIIIIII,54,1500,1663
master_j,55,1665,1716
lwd_acm2013,56,1664,1714
craig04,57,1628,1698
thomasmikava,57,1659,1712
aaaaAaaaaAaaaaAaaaaA,59,1601,1685
Mikael,60,1500,1660
ivplay,60,1630,1697
last_two,62,1534,1649
Gonens,63,1650,1704
VimLover,64,1620,1691
Lisz_14,65,1669,1711
chenzeyu97,65,1671,1711
poma.prs,67,1494,1625
bly,68,1545,1652
vas.and.tor,68,1678,1712
FxF,70,1616,1685
NoWoDeYo,71,1699,1717
ndsf,71,1500,1655
MottoX,73,1521,1638
Guliash,73,1657,1701
Z.M.,73,1619,1685
joisino,76,1590,1670
TonySnark,77,1619,1683
lclan,77,1442,1590
zhuyaoyu,77,1630,1687
Konstantin.Zakharov,77,1520,1635
chitanda,81,1632,1686
sxqqslf,82,1481,1611
ayusha,83,1338,1518
Xiaoguai,84,1500,1650
SCUTE,84,1687,1705
zhouhebin,86,1500,1649
tungnt_580,86,1544,1643
gaolee,88,1426,1575
lwh,88,1606,1670
004993,90,1646,1686
fengsuiyan,91,1583,1659
Stetsyk,91,1511,1624
likelife,91,1500,1647
acmin,94,1681,1696
coderbd,94,1673,1693
wynnew,96,1689,1697
jiangshibiao,97,1687,1696
faebdc,98,1654,1683
Remilia-Scarlet,99,1500,1643
bolivar1997,99,1560,1644
pikachu_,101,1551,1639
amnsinghl,102,1698,1697
smallling,102,1692,1694
LPN,102,1499,1612
paulhsia,102,1444,1581
sck,106,1539,1630
Bendtner,107,1421,1564
leopan0922,107,1592,1654
droidkid,109,1572,1644
barba,109,1668,1682
Rafiki53,109,1622,1665
zhangzhonghao,112,1606,1657
synapse,112,1552,1634
R.xddddddd,114,1500,1607
704764513,115,1692,1686
ahri,116,1674,1679
