handle,rank,oldRating,newRating
IbukiSuika,1,1500,1652
BelleBrezing,2,1588,1698
stx2,3,1657,1734
hogloid,4,1624,1716
majia6,5,1699,1751
WinterWing,6,1617,1711
Goblin_Shredder,7,1500,1649
hovinhthinh_clone,8,1500,1648
mfhraven,9,1673,1737
xiaoshua,10,1614,1708
xyahr,11,1644,1722
gingkgo,12,1593,1695
tkdsheep,12,1691,1742
lulu,14,1500,1646
AngryBacon,15,1500,1645
Kitten,16,1500,1645
ypjie,17,1500,1644
vuryleo,18,1672,1730
kvo,19,1653,1721
Pasqual45,20,1690,1736
alexey.shchepin,21,1484,1625
zanoes,22,1697,1738
Cyin,23,1693,1736
izban,24,1612,1698
PattS,25,1669,1724
cuperman,26,1579,1679
hung06061995,27,1526,1648
Exia,28,1676,1726
tracyfan,29,1661,1718
pele,30,1682,1727
zhk,31,1630,1703
DoubleLu,32,1625,1700
VenusWithArms,33,1500,1636
jonathanpaulson,34,1500,1636
yang1fan2,35,1488,1620
Tadrion,36,1601,1685
dani1373,37,1688,1724
arti1990,38,1678,1719
Jay_Chou,39,1585,1675
Navigabimus,40,1692,1723
Ufotalent,41,1500,1633
Timo,42,1637,1699
lzsb,43,1597,1679
clumsysniper,44,1699,1723
helen_maple,45,1695,1720
StefanoT,46,1672,1711
Gatina,47,1500,1630
Kaylin,48,1585,1670
Candy,48,1445,1586
esta,50,1500,1628
wangyongliang,51,1661,1703
dingjian0312,52,1435,1577
winterwolf94,53,1698,1716
mostafa_fahim,54,1677,1708
poaspoas,55,1634,1690
KawaiiDragon,56,1595,1671
qqz003,57,1662,1700
fatest0,57,1507,1621
yy17yy,59,1668,1701
doraemon,60,1465,1593
isuck,61,1500,1623
dongdong,62,1517,1625
object022,63,1698,1709
k20102419,64,1642,1687
kcany,65,1547,1640
abdukodir,66,1533,1632
pius_88,67,1510,1618
maimengde,68,1500,1620
kamran,69,1445,1577
luyi0619,70,1697,1703
igorwr,71,1469,1591
lastseed,72,1598,1663
eagle747,73,1530,1626
trains,74,1620,1672
rhett17,75,1621,1672
Raggi,76,1564,1643
e3x6k89,77,1500,1615
beyondxgb,78,1608,1664
Thanh_An-Hong,79,1471,1588
mgy,80,1506,1609
a_kawashiro,81,1605,1661
mjmjmj,82,1567,1642
Bool,83,1500,1612
snow_lotus,84,1403,1541
YLiyxr,85,1549,1631
suanrong,86,1668,1682
xiaotao,87,1512,1610
ishikado,88,1463,1580
lantimilan,89,1669,1681
dashashi,90,1681,1684
haxxpop,90,1528,1617
rockaustin2k6,92,1679,1682
nullzero,93,1571,1637
zrp2,94,1639,1667
stevenkplus,95,1500,1607
2910201028,96,1540,1620
Shafaet,97,1683,1680
czy941030,98,1500,1605
jonathanasdf,99,1696,1682
vilcheuski,100,1662,1671
panacekcz,101,1622,1656
Jamik,102,1476,1581
justever43,103,1500,1603
gurpreet_09,104,1640,1661
dyussenaliyev,105,1696,1677
hqztrue,106,1438,1555
coders1122,107,1696,1676
waterkid,108,1542,1615
FreddyKrueger,109,1523,1604
tiirz,110,1667,1666
Battle_Mage,111,1675,1668
Caesar11,112,1532,1607
anrieff,113,1688,1670
weiyang,114,1680,1668
FireJade,115,1500,1597
NewGYM,116,1646,1656
St.satzh,117,1690,1668
fcjy888,118,1634,1650
memphis0603,119,1663,1659
tomcat,120,1695,1667
charlie,121,1545,1610
travm12,121,1643,1652
pratikmoona,123,1676,1660
phidang,124,1660,1655
sazzad,124,1598,1632
vovinam,126,1500,1592
ykwd,126,1608,1635
pulkitg10,126,1624,1641
chym,129,1568,1616
luu,130,1500,1590
Shuaib,131,1595,1627
ray040123,132,1646,1645
abody97,133,1691,1661
Mystic,134,1693,1662
like,135,1685,1656
zakharvoit,135,1491,1574
macaroniz,137,1620,1633
mickeyandkaka,138,1509,1582
dinarisio,139,1458,1553
Aries512,140,1656,1643
TMandzu,140,1499,1576
homelesser,140,1616,1630
bellywhite,143,1627,1632
_LT_zyc,143,1578,1613
ADJA,145,1614,1626
Spacejoker,146,1694,1659
Altynai,147,1538,1593
Tatyana_Petrashko,147,1488,1567
pkrzemin,149,1547,1596
duongnd,150,1578,1609
G4c4r0,151,1571,1605
