handle,rank,oldRating,newRating
Petr,1,2240,2279
tourist,2,2341,2351
Burunduk1,3,1911,2055
rng_58,4,2159,2210
tomekkulczynski,5,1943,2070
Romka,6,1885,2034
KADR,7,2035,2110
Ra16bit,8,2184,2217
yeputons,9,1968,2078
ilyakor,10,2203,2222
iwiwi,11,2166,2194
Gerald,12,1925,2045
LinesPrower,13,1731,1938
taras.klaskovsky,14,1725,1938
yaro,15,1827,1984
syco,15,2074,2125
filix,17,1856,2000
SpookyCookie,18,2125,2146
RAVEman,19,2173,2167
watashi,20,1500,1797
voover,20,1816,1973
tomerun,22,1865,1994
Dmitry_Egorov,23,1839,1973
suesfxg,24,1500,1794
AlTimin,25,1952,2034
maksay,26,2100,2108
ivan.metelsky,27,2029,2059
dragoon,27,1921,2015
PavelKunyavskiy,29,2171,2135
S.Yesipenko,30,1892,1995
Matt,31,1685,1894
ACube,32,1656,1878
slycelote,33,2043,2061
AleX,34,2105,2084
dolphinigle,35,1946,1997
jbernadas,36,1964,2016
pank.dm,37,1831,1954
alger95,38,1722,1897
Borisp,39,1832,1952
Fdg,40,1935,1984
uwi,40,1929,1994
YuukaKazami,42,1968,2009
nodchip,43,1876,1963
Shtrix,44,1777,1918
ralekseenkov,45,1634,1854
kate1543,46,1625,1847
Sereja,46,1720,1889
x-ray,48,1903,1963
vlad107,49,1827,1930
ballon,50,1825,1927
cmd,51,1917,1963
JOZHEG,52,1673,1855
mislav,53,1677,1863
scottai1,54,1872,1941
ptrrsn_1,55,1637,1807
superkinhluan,56,1500,1760
sevenkplus,57,1710,1873
ahmed_aly,58,1726,1878
adhirajsomani,59,1500,1752
sjtu_pigoneand,60,1713,1855
SobolS,61,1500,1742
Sergey.Bankevich,62,1662,1838
mekagem,63,1636,1837
DDDDDDDDDDDDDDDDDDDDDDDD,64,1804,1904
sankear,65,1964,1961
Duc,66,1536,1788
Thekid,67,1979,1960
Seemann,68,1841,1910
kefir,69,1653,1836
juver,69,1693,1844
Connector,71,1806,1892
Dener,72,1732,1863
yvasyliv,73,1774,1864
OgieKako,74,1746,1866
roticv,75,1500,1719
allocator,75,1675,1790
P___,77,1697,1843
abkqz,78,1972,1933
diver_ru,79,1953,1925
LayCurse,80,2126,2022
Medium,81,1809,1877
CherryTree,82,1867,1859
goldvitaly,83,1500,1733
mhung,84,1500,1725
IvayloS,85,1847,1884
Kenny_HORROR,86,1833,1866
Rasifiel,87,1637,1798
kusano,88,1745,1849
