handle,rank,oldRating,newRating
PavelKunyavskiy,1,2544,2646
Egor,2,2630,2692
tourist,3,3030,3026
rng_58,4,2809,2820
tomasz.kociumaka,5,2137,2266
Kenny_HORROR,6,2256,2354
yeputons,7,2558,2592
enot110,8,2116,2244
al13n,9,2542,2573
Endagorion,10,2260,2351
nvilcins,11,1927,2097
Ra16bit,12,2220,2318
hogloid,13,2253,2342
Dmitry_Egorov,14,2498,2526
Petr,15,2812,2766
Zhukov_Dmitry,16,2447,2483
kawatea,17,2069,2200
peter50216,18,2713,2676
KADR,19,2417,2455
White_Bear,20,2167,2269
mR.ilchi,21,2145,2252
dreamoon,22,2287,2354
ainta,23,2095,2213
uwi,24,2184,2276
edward_mj,25,2109,2221
mamekin,26,2078,2197
andrewzta,27,2299,2355
R_R_,28,2248,2317
subscriber,29,2400,2423
mmaxio,30,2265,2327
hytirt,31,2115,2219
kuviman,32,1769,1959
kelvin,33,2383,2404
RAVEman,34,2545,2510
Ripatti,35,2140,2232
ACube,36,2266,2319
DPR-pavlin,37,1851,2020
NALP,38,2231,2292
a142857a,39,2066,2176
Komaki,40,2172,2249
Igor_Kudryashov,41,2004,2130
dolphinigle,42,2314,2342
knightL,43,2027,2145
azizkhan,44,2009,2131
aropan,44,2205,2267
yukim,46,1950,2087
AleX,47,2284,2315
RAD,48,2381,2376
xhae,49,2020,2135
darkbtf,50,2044,2150
pewpew,51,2085,2178
voover,52,2281,2306
hhoomn,53,1969,2096
Gullesnuffs,54,1982,2104
niyaznigmatul,55,2334,2334
tsfn,56,1817,1981
Marcin_smu,56,2010,2122
KhaustovPavel,58,2045,2144
seanwu,59,2248,2275
sankear,60,2139,2204
Smit,61,1891,2033
amrSamir,62,1815,1976
Zlobober,63,2317,2312
Victor,64,1856,2005
sexyprincess91,65,2190,2231
Swistakk,66,1943,2067
havaliza,67,2089,2164
bloops,67,1772,1940
antonkov,69,1901,2035
The_CodeBreakeR,70,1734,1908
hirosegolf,71,2007,2106
DEGwer,72,1854,1999
riad,72,1805,1963
Timur_Sitdikov,74,1948,2064
-XraY-,75,2204,2227
dianbei,76,1879,2014
this_isssssyy,77,1831,1978
Bobgy,78,1711,1884
Edvard,79,2158,2195
Breakun,80,1968,2073
VArtem,81,2094,2153
ADJA,82,1850,1989
Eurekash,83,1894,2020
-DMYTRO-,84,2248,2242
Erop,85,2157,2188
dasko1,85,2180,2201
eduardische,85,2202,2214
betalife37,88,1894,2016
Reshetnikov_Ivan,89,1931,2041
chavit,90,1976,2070
Nibelung,91,1730,1892
sillyboy,92,1965,2061
Steps09,93,1929,2036
Di735,94,2035,2104
MinakoKojima,95,2069,2124
climpet,96,1961,2055
weixinding,96,1806,1947
BSBandme,98,1779,1925
cerealguy,99,2504,2425
nathanajah,99,1985,2067
dmitry.uvarov,101,1868,1988
DamianS,101,2161,2172
I-juice,103,1985,2064
ztxz16,104,2015,2082
dancho,105,2059,2108
Olja,106,2241,2207
poao899,107,1813,1951
esrever,108,1986,2061
Kepnu4,109,1760,1905
ania,110,2331,2274
technolt,111,2030,2086
gchebanov,112,2141,2148
OVR,113,1705,1860
persianpars,113,1761,1903
ib18,115,2016,2074
bahakz,116,1996,2061
FattyChicken,117,2269,2219
lamphanviet,118,1907,2003
Martynas,119,1899,1997
NuM,120,2005,2063
cjtoribio,121,1995,2057
aa2985759,122,2013,2066
KirisameMarisa,123,1949,2026
helThazar,124,1724,1868
void_rank,125,1804,1927
moshiur,126,1860,1965
Hinidu,127,1811,1931
gogokefakefa,128,2044,2078
mochavic,129,2232,2183
malcolm,130,1806,1925
ifsmirnov,131,2155,2135
iscsi,132,1778,1903
Arterm,133,1783,1908
wrong,134,2316,2251
rares.buhai,135,2095,2099
Vaness,136,1910,1991
kennethsnow,137,2004,2047
ll931110,138,2152,2126
Leo_Yu,139,2079,2087
daizhenyang,140,1929,2000
RomaWhite,141,2224,2172
Gassa,142,2218,2166
jonathanpaulson,143,1717,1851
gs12117,144,1824,1929
EriKKo,145,1901,1979
roypalacios,146,1957,2012
ali_fiujnomali,146,1709,1843
lawsonh,148,1700,1835
Martin,149,2339,2265
sharat1105,150,1701,1835
Furko,151,2068,2071
Sereja,151,2208,2155
Skird,153,1724,1851
Krig,154,2130,2098
Fefer_Ivan,155,2198,2145
wtiger9999,155,1702,1833
Archon.JK,155,2349,2271
OpalDshawn,158,2054,2056
stan,159,1817,1914
sune2,160,1782,1889
msg555,160,2216,2158
vici,162,1849,1933
Stigius,163,2261,2195
Logvinov_Leon,164,1869,1945
Avalanche,165,1871,1945
Alireza,166,1745,1859
natsugiri,167,1891,1957
chaos_king,168,1707,1829
nk.karpov,169,2033,2035
barty,169,1902,1962
stevenkplus,171,1788,1886
SmirnovBoris,171,1851,1929
anton,173,2011,2020
KarlisS,174,1733,1845
hama-du,175,1890,1950
ntit_co1,175,1772,1873
evima,177,2066,2045
MSPA,177,1767,1868
kostya_by,179,2091,2054
zcwwzdjn,180,2133,2083
cgangee,180,1701,1818
lnminusone,182,1742,1847
