handle,rank,oldRating,newRating
subscriber,1,2761,2873
snuke,2,2601,2708
Endagorion,3,2621,2706
zemen,4,2445,2557
mR.ilchi,5,2567,2647
KAN,6,2774,2807
LHiC,7,2572,2645
Burunduk1,8,2319,2448
TeaPot,9,2600,2663
Swistakk,10,2661,2708
MrDindows,11,2446,2542
RAVEman,12,2615,2669
VArtem,13,2598,2654
VladGavrila,14,2301,2428
FatalEagle,15,2342,2458
darknstd,16,2101,2273
tmt514,17,2447,2534
iridescent,18,2421,2513
ershov.stanislav,19,2505,2574
aaaaajack,20,2341,2451
Hezhu,21,2141,2300
RomaWhite,22,2593,2633
mmaxio,23,2569,2614
HYPERHYPERHYPERCUBELOVER,24,2494,2558
vlad107,25,2502,2563
KenKaneki,26,2175,2321
zylber,27,2364,2460
2222,28,2479,2542
savinov,29,2404,2487
Laakeri,30,2355,2450
GrumpyKitten,31,2323,2426
Errichto,32,2385,2470
pparys,33,2061,2229
.o.,34,2573,2598
Um_nik,35,2663,2656
mgch,36,2273,2385
Egor,37,2632,2631
Petr,38,3127,3029
mnbvmar,39,2544,2569
Shtrix,40,1963,2148
tabasz,41,2208,2333
Andrei1998,42,2141,2283
Radewoosh,43,2310,2404
skrydg,44,2199,2323
I_love_Tanya_Romanova,45,2515,2541
dnkywin,46,2347,2426
Golovanov399,47,2383,2450
W4yneb0t,48,2695,2647
slycelote,49,2318,2403
ksun48,50,2375,2441
prof.PVH,51,2409,2462
JayBryant,52,2147,2279
sugim48,53,2311,2394
Merkurev,54,2758,2694
HellKitsune,55,2470,2497
vilcheuski,56,2069,2218
kickbutt,57,2558,2549
KungA,57,2283,2370
Enchom,59,2308,2385
IvL,60,2441,2471
Shef,61,2417,2455
eddy1021,62,2113,2246
White_Bear,63,2206,2311
aitch,64,2076,2217
LayCurse,65,2337,2398
Timur_Keks,66,2145,2266
NuM,67,2314,2381
I_love_Hoang_Yen,68,2587,2546
sdya,69,2705,2638
creatnx,69,1990,2150
Eurekash,71,2075,2211
ilyakor,72,2482,2480
zxqfl,73,2514,2497
ballon,74,2465,2467
Auster,75,2167,2274
aidos,76,2136,2251
Lord_F,77,2177,2279
muratt,78,1967,2126
pflueger,79,2123,2240
poopi,80,2290,2352
aid,81,2387,2411
HidenoriS,82,2052,2187
KADR,83,2767,2683
-XraY-,84,2545,2496
ssmike,85,2297,2351
WCG,86,2201,2287
zxozxo4,86,1922,2086
Taube,88,2267,2329
k__mas,89,2057,2185
namai,90,1838,2017
ecnerwala,91,2704,2625
alexey.enkov,92,2291,2341
laoriu,93,2289,2337
Rxcso,94,1923,2082
matrix,95,2323,2356
Alex_2oo8,96,2494,2451
xuhaike,96,1916,2075
mareksom,98,2368,2379
PauGra,99,2051,2174
Solaris,100,2220,2287
Fdg,101,2496,2447
Quang,101,2031,2159
AlirezaN,103,1978,2118
mhy12345,104,1931,2082
uwi,105,2552,2489
marat.snowbear,106,2448,2414
adurysk,107,2186,2259
DarthPrince,108,2258,2303
Timur_Sitdikov,109,2306,2332
Tyg3R,110,2009,2136
Landertxu,110,2221,2278
knightL,112,2457,2410
OhWeOnFire,113,2104,2200
bekzhan97,114,1758,1937
TankEngineer,115,2634,2554
cchao,116,2217,2270
Belonogov,117,2348,2346
paulwang,118,2316,2328
nfssdq,119,2199,2257
IAmNotDaniil,120,2292,2311
ggoh,121,1866,2022
Tsutsukakushi.Tsukiko,122,1782,1953
evima,123,2348,2340
williamhu08,124,2048,2153
maxkvant,125,2233,2272
witua,126,2293,2306
Philae,127,2135,2210
a0666,128,2006,2121
teleport,129,2329,2323
CyberQuantum,129,1733,1908
fnch,131,1706,1884
BSBandme,132,2187,2238
desert97,133,2361,2335
Ferathorn,134,2058,2153
nwi,135,2211,2249
lych123,136,1954,2079
gpoesia,137,2010,2118
izrak,138,2482,2416
Phronesis,139,2076,2161
carabet.cosmin,140,1979,2094
weekend1997,141,1771,1934
gen,142,2103,2177
Ajosteen,143,1872,2013
geniucos,144,2351,2318
bayleef,144,2498,2428
BigBag,146,1944,2065
macs,147,2126,2187
retrograd,148,2026,2121
Lelby,149,1869,2008
Kirishima,150,1931,2053
Ilya_MSU,151,2404,2347
Mikester,152,2084,2157
chaos_king,153,2072,2149
zhsh,154,2038,2125
qingping95,155,1720,1884
bardek,156,2319,2289
YerzhanU,157,2235,2243
pewpew,158,2383,2327
Ximera,159,1951,2062
AnnKats93,159,2012,2104
matthew99,159,2350,2301
akaiNeko,162,1942,2054
yao11617,163,1803,1948
Tinsane,163,1954,2061
vml,165,2139,2181
Nicolas16,166,2341,2290
ZhNV,167,2219,2225
undercover_rg,168,1838,1973
ed1d1a8d,169,1913,2028
I_hate_ACM,170,2263,2246
pashka,171,2488,2410
AlexIlin,172,1989,2080
jonathanpaulson,173,2227,2225
riad,173,1960,2059
Nikitosh,175,2324,2273
mhss,176,2106,2152
__math,177,2318,2267
patrick.sava,178,1707,1861
SanSiroWaltz,178,2313,2263
demon1999,180,2002,2083
HYEA,181,2475,2396
kondranin,182,1858,1980
Shik,183,2614,2511
JohStraat,184,2104,2145
Malinovsky239,185,1970,2058
flashmt,186,2150,2170
Ironcircle,186,1732,1878
waterfalls,188,2238,2216
EbTech,189,2306,2253
Reyna,190,1867,1982
sokian,191,2424,2350
Arterm,191,2408,2336
M.Mahdi,191,2354,2291
tanphatls987,191,2058,2111
ko_osaga,191,2360,2296
vadimmm,196,2048,2102
Apx,197,1758,1894
ikbal,198,2282,2230
s17k,199,1882,1988
fenzhang,200,2443,2363
_M_,201,1809,1932
Trumen,201,2268,2219
andrew.volchek,203,2524,2430
memset123,203,2015,2076
zscc,203,2039,2091
pqhuy98,203,1791,1917
Flyrise,207,2062,2102
malcolm,208,2518,2423
Tehnar,209,2108,2128
eha,209,2078,2110
Yousef_Salama,211,1922,2009
ikicic,211,2138,2143
TonySnark,211,1929,2014
Aliquando,211,1762,1889
KarlisS,211,2157,2154
VietaFan,216,1951,2025
ika,216,2013,2066
last_one,218,1996,2054
harrypotter192,218,2318,2253
FxF,218,2015,2066
Akigeor,218,1936,2014
simp1eton,222,2053,2086
tyamgin,222,2054,2086
sokokaleb,222,2092,2108
xuanquang1999,222,1878,1971
SasukeReturns,222,1732,1859
ayaze,227,2058,2085
Phoom,227,1970,2031
vadym_doroshenko,229,1840,1940
pwypeanut,230,1958,2021
ablikexe,230,1906,1986
hama-du,230,2126,2122
hirokazu1020,230,1805,1913
IrOty1oX5uSp4,230,1774,1889
budro,235,2097,2101
okuraofvegetable,235,1876,1962
zyf940104357,237,1753,1868
enrevol,237,2108,2106
shamir0xe,239,1842,1935
Eledven,240,2116,2109
luluxiu,240,1818,1917
akim_,242,2091,2093
keyvankhademi,243,2308,2238
Balseraph,243,2002,2040
yzyz,245,2197,2146
ZJiaQ,246,2127,2110
mayoko,246,1737,1851
Z0RR0,248,1732,1846
calfcamel_7,248,1729,1843
Lepton_s,248,2051,2066
cjtoribio,251,2135,2110
Delfad0r,252,2123,2103
shobe,252,1847,1932
wakaka,254,2178,2128
h4tguy,254,2035,2052
den2204,256,1978,2017
Hachiikung,257,2027,2046
Gassa,257,2370,2286
sajo,257,1767,1869
1NcontroL,260,2095,2082
354898002,260,1786,1882
hweigel528,262,2007,2030
gendelpiekel,262,2168,2118
clq111111,264,2144,2103
joyfun,265,1935,1984
logicmachine,265,2298,2224
Godely,267,1952,1993
Melnyk,267,2064,2060
Sarkin,269,2191,2134
ItsLastDay,269,2087,2071
note_17,269,1708,1816
niquefa_diego,272,2022,2032
aram90,272,1989,2013
PAP,274,2162,2109
alexeykuzmin0,275,2065,2055
numbertheorist17,276,1903,1956
Oryshych,277,2005,2019
P_Nyagolov,278,1735,1833
IFLED,278,1971,1998
socketnaut,280,2272,2198
ashpsycho,280,1875,1935
kinol,280,2027,2030
torus711,283,1913,1958
amankedia1994,283,2051,2042
znirzej,285,2095,2063
Slamur,286,2146,2092
pavel.savchenkov,287,2398,2302
Zzyzx,288,1842,1907
AmirAz,288,1834,1902
ami,288,2271,2196
whalyzh,291,1752,1839
darry140,291,1972,1990
gut,291,1918,1957
moinul.shaon,294,2080,2049
harhrayr,295,2306,2223
DhunterAO,296,1893,1938
MofK,296,1817,1885
rudy102,298,2308,2224
Ra8,299,1918,1952
dohyun0324,299,1874,1923
Ancient_mage,301,1885,1929
orz_liuwei,301,1783,1857
Awa149,303,2025,2013
IgorL,303,1970,1981
KOTEHOK,303,2271,2192
fk026,306,2021,2009
tomasf,307,1874,1918
acherepanov,308,2139,2080
poikniok,309,1740,1821
nuip,309,2200,2131
Sampson,311,2231,2157
_kun_,312,1844,1895
sunzeyu,313,1752,1828
paulocezar,313,1834,1888
shad0w_walker,313,1873,1914
bsnipers,313,2100,2048
_LAD_,317,1841,1890
trilis,317,1988,1983
knst,319,1968,1970
HappyPerson,319,1713,1794
OmarHashim,319,1783,1848
f.bialas,322,1876,1911
kshitijbathla,323,1928,1943
tkostek,323,2140,2078
gridnevvvit,325,2108,2051
jk_qq,326,1869,1904
AStepanov,327,2082,2029
SamuelTangz,328,1727,1801
mgoncharov,328,1751,1819
gjy5885,330,1983,1972
popoffka,330,2229,2151
Stetsyk,332,1938,1944
J.S.,333,1722,1794
jablko,333,2289,2201
KirillB,333,2083,2028
100Rad,333,1771,1831
lester,337,1851,1886
maremoto,338,1756,1818
huantwofat,339,1907,1920
wyfcyx,339,1780,1835
htbb,341,1726,1793
itu,341,1753,1814
Rafbill,343,1990,1967
Saham,343,1828,1867
alexyz,345,1884,1902
StarCuriosity,345,2167,2096
hasi,345,1793,1841
Nero,348,2392,2285
FerranAlet,349,2150,2080
reality420,349,1786,1834
pkwv2012,351,1927,1925
behzad.nouri,351,1886,1900
mainstring,351,1811,1850
sensei11,354,1949,1937
lavin,355,1930,1925
ttrkaya,356,1718,1779
AkshajK,357,1930,1924
Edvard,357,2393,2286
linhkhanhnguyen,359,1772,1818
nigus,360,1741,1795
_Hieu,361,2012,1966
natsugiri,361,2357,2252
sluki,363,1860,1876
Hagentern,363,1704,1765
Matjaz,365,1937,1923
oi111,366,1756,1803
yummy,367,2160,2085
Tima,367,2140,2068
TsunamiNextYear,369,2088,2024
One_touch_finish,370,1804,1835
ajkrish95,370,2059,2000
cq_phqg,372,1729,1779
abisheka,373,1759,1801
durt,374,2047,1989
codepatriot,375,1727,1776
SirNickolas,376,1760,1800
SebinKim,377,1897,1892
RomeoFantastik,377,1845,1859
Filyan,379,1843,1856
krismaz,380,2341,2235
marX,381,2041,1982
nightfury1204,382,1734,1778
vivekmufc,382,1739,1782
NanoApe,384,1729,1773
abbas,384,1817,1836
duckladydinh,386,1717,1763
Vlad_kv,387,2065,2001
Prime21,388,1944,1913
Maxim,389,1994,1942
vitux,390,2210,2123
dtalamas24,391,2032,1973
Snarl_jsb,391,1903,1887
Nodir.Daminov,393,1930,1902
killerfear,394,1959,1917
pavellevap,394,2247,2154
caa_tomsk,396,1862,1860
Miteusz,397,2075,2008
vmrajas,398,1882,1871
tomlau,399,1917,1891
percywtc,400,1912,1887
SaDDaS,401,1797,1813
ALWAYSWANNAFLY,402,1923,1892
azukun,403,2223,2132
Furko,404,2346,2239
Rainto96,405,1797,1811
akulsareen,405,2188,2102
Alien.kz,405,1747,1776
peterpan,408,1885,1867
Tifuera,409,1997,1939
nekrald,410,1995,1938
johnathan79717,410,2182,2096
Al2K,412,1740,1767
Kmcode,413,1849,1842
