handle,rank,oldRating,newRating
scott_wu,1,2940,3014
Belonogov,2,2711,2771
xiaowuc1,3,2387,2504
LiChenKoh,4,2269,2384
sdya,5,2702,2660
chenmark,6,2212,2286
qlmupi,7,1990,2112
architkarandikar,8,2227,2252
farmersrice,9,1923,2026
lewin,10,2629,2515
NgocHai,11,2114,2118
yzyz,12,2351,2278
aandrew,13,2004,2006
al13n,14,2793,2602
SaveVMK,15,2043,2000
BIT-silence,16,2067,2002
yum,17,2026,1950
cxkejcn,18,2116,2009
