handle,rank,oldRating,newRating
OO0OOO00O0OOO0O00OOO0OO,1,3314,3419
Swistakk,2,2851,3018
Um_nik,3,3286,3309
bmerry,4,2839,2958
ainta,5,2835,2939
zxqfl,6,2688,2818
yosupo,7,2816,2901
Radewoosh,8,3098,3101
lewin,9,2444,2611
dddddddx.R,10,2615,2728
qwerty787788,11,2887,2921
azneyes,12,2124,2364
MrDindows,13,2760,2815
ecnerwala,14,2752,2804
Errichto,15,2716,2773
jonathanirvings,16,2489,2601
Shik,17,2686,2741
RAVEman,18,2452,2565
fsouza,19,2605,2674
InvUsr,20,2160,2349
neal,21,2197,2371
Petr,22,3353,3220
mcfx,23,2812,2813
dreamoon,24,2701,2727
DEGwer,25,2547,2610
xiaowuc1,26,2288,2418
snuke,27,2601,2645
scanhex,28,2396,2491
AndreySergunin,29,2218,2360
LHiC,30,3114,3020
SirShokoladina,31,2667,2683
Arterm,32,2634,2656
al13n,33,2655,2670
henryx,34,2037,2224
ugly2333,35,2404,2480
jtnydv25,36,2222,2346
300iq,37,2617,2633
gisp_zjz,38,2314,2407
majk,39,2595,2612
stevenkplus,40,2446,2500
mango_lassi,41,2253,2358
natsugiri,42,2564,2584
Shef,43,2448,2496
Eclipse,44,2189,2306
ktuan,45,2099,2243
grumpy_gordon,46,2294,2378
V--o_o--V,47,2874,2808
kostka,48,2301,2379
kmjp,49,2361,2422
wa1tz719,50,2285,2365
Bruteforceman,51,2133,2255
lumibons,52,2101,2232
nuip,53,2512,2527
Noam527,54,2237,2324
sinus_070,55,1920,2110
hitman623,56,2105,2229
nhho,57,2493,2507
yasugongshang,58,2446,2471
danya.smelskiy,59,2227,2309
irkstepanov,60,2398,2433
_kun_,61,2310,2367
gamegame,62,2174,2268
MofK,63,2201,2286
miseri,64,2110,2221
prof.PVH,65,2248,2317
RomaWhite,66,2815,2738
I_love_Maria_Ivanova,67,2233,2303
AryanSM,68,2173,2259
KADR,69,2354,2389
DarkestLight,70,2704,2650
NurlashKO,71,2118,2217
naumazeredo,72,1928,2091
VArtem,73,2695,2640
..................,74,2262,2316
Cydiater,75,2185,2260
kobortor,76,2142,2228
SecondThread,77,2001,2132
MissMyDearest,78,2160,2239
KungA,79,2236,2292
Svlad_Cjelli,80,2199,2264
atatomir,81,2417,2423
boook,82,2113,2201
qlmupi,83,2227,2281
phongthan,84,2378,2391
Fekete,85,2090,2182
uwi,86,2691,2624
scott_wu,87,3071,2913
fetetriste,88,2142,2214
qoo2p5,88,2439,2432
Mikaeel,90,2003,2119
mariand,91,1964,2092
Inner_x_Peace,92,2206,2257
kessido,93,2126,2199
NEU20133823,94,2172,2231
isaf27,95,2331,2346
Ajosteen,96,2295,2318
Ali_Pi,97,2298,2320
Eliden,98,2090,2170
nigus,99,2224,2264
Findstr,100,2320,2333
hohomu,101,2265,2291
best.code,101,2123,2189
Alpha_Q,103,2179,2228
lessmeaning,104,2142,2201
BenMirt,105,1911,2045
tfg,106,2276,2296
Dimon,107,1967,2079
Expectation,108,2443,2419
x.bryanc,109,2005,2102
Valentin_E,110,1914,2042
roberiosalesc,111,2104,2168
ATS,112,2136,2189
FLDutchman,112,1999,2094
ymatsux,114,2042,2123
aid,115,2700,2609
Ilya_MSU,116,2308,2312
alexX512,117,1951,2060
kyleliu,118,2178,2215
adamczh218,119,2305,2307
balakrishnan,120,2104,2161
Illidan,121,2230,2251
leanil,122,2086,2146
pllk,123,2282,2287
vmrajas,124,2136,2180
mike_live,125,2093,2149
Boterphile,126,2116,2165
ckodser,127,2280,2282
KrK,127,2693,2595
sqrtdecompton,129,2197,2221
AkshajK,130,2059,2122
smirnov.i,131,2100,2150
wakaka,132,2337,2323
__math,133,2390,2362
paulica,134,1986,2069
solaimanope,135,2135,2172
woqja125,136,2291,2285
BigBag,137,2328,2313
AhmadHaulianYogaPratama,138,2142,2174
LoppA,139,2147,2177
CrazyMerlyn,140,1947,2038
Jakube,141,2170,2192
aviroop123,141,1996,2070
allllekssssa,143,2164,2187
erge,144,2051,2106
ruhan.habib39,145,1977,2055
Rayker,146,2074,2121
zdw1999,147,1954,2038
Serenkov,148,1901,2003
LiChenKoh,149,2356,2327
STommydx,150,2115,2147
Gassa,151,2103,2138
r_chesnokov,152,2011,2073
FiveAtomTree,153,2136,2160
matipau,153,1981,2051
Minnakhmetov,155,2112,2142
simp1eton,156,1900,1996
aayush9,157,1941,2022
naagi,158,2003,2063
antguz,159,1903,1996
NirShalmon,160,1965,2036
Antoine,161,2075,2111
kazuma,162,2164,2175
mitterr1999,163,2158,2170
poao899,164,1972,2038
niquefa_diego,165,2146,2160
aka.Sohieb,166,2001,2056
fedimser,167,2010,2062
Cams,168,1936,2011
fedoseev.timofey,169,2086,2114
mircea85,170,1954,2022
dlwlrma,171,2273,2252
wawawa1998,172,2054,2090
KacaMG00,173,2075,2104
Kuzey,174,2128,2142
SPatrik,175,1915,1992
doggy_style,175,2038,2076
aditya1701,177,1953,2017
Fedosik,178,2292,2262
abeker,179,2206,2196
calabash_boy,180,2010,2054
EtoNagisa,181,2074,2098
BudAlNik,182,2451,2382
Igorjan94,183,1912,1985
cxkejcn,184,2056,2084
MathStudent2002,185,1992,2038
adamant,186,2282,2251
aloomya,187,1953,2010
tinca_matei,188,1916,1985
train_driver,189,2084,2101
extraterrestrial_,190,2129,2133
egor.lifar,191,2320,2277
amethyst0,192,2352,2301
Forestryks,193,2044,2070
Hasan0540,194,2198,2183
erop.sergeev,195,2002,2039
--d,196,2534,2439
kilotaras,197,1964,2011
voidmax,198,2495,2408
agaga,199,1972,2016
ipaljak,200,2004,2037
TERESO,201,1972,2015
Nasic_number_one,202,2153,2145
samuelfgs96,203,2201,2181
wewark,204,1928,1983
TripleM5da,205,2160,2149
threeinches,206,2230,2201
Nson,207,2114,2113
xh286286,208,1995,2026
aquablitz11,208,1980,2015
Moysenko,210,2051,2065
vanvector,211,1954,1996
dalex,212,2028,2048
sy_chen,213,2235,2202
stelian2000,214,1919,1970
fnch,215,1972,2006
arthurCF,216,2151,2137
Kharouba,217,2135,2124
Holidin,218,2013,2034
kongroo,219,1934,1978
vbobrov,220,1997,2020
smiken,220,2132,2120
fleimgruber,222,1943,1981
almasip,222,1968,1999
GoogleBot,224,2001,2022
kaldiuo,225,2327,2267
Motarack,226,2280,2230
Mohammad_kilani,227,2091,2086
aj1729,228,1924,1965
dilsonguim,229,2044,2050
danya090699,230,2261,2214
Minority169,231,1958,1987
jjjjj19980806,232,1964,1991
cerberus97,233,2173,2145
smu201111192,233,1978,2000
VinayakaB,235,1971,1994
lucaasdamaso,235,1949,1978
Nicola95,237,2107,2093
NimaV,237,2014,2023
aminra,239,2119,2101
smartnj,239,2105,2090
gazelle,241,2073,2065
compiler_101,242,1971,1990
zoomswk,243,2207,2167
MoHib85,244,1922,1955
jarakcyc,245,1928,1958
Marckess,246,1992,2003
tap_tapii,247,1918,1950
davidv1992,248,1923,1953
Nhqx,249,2080,2067
CaptainMAK,250,1902,1937
spiderbatman,251,1975,1987
kuriyoki,251,1941,1963
super_azbuka,251,2301,2236
HIT_TOM,254,2113,2090
vpike,255,1952,1969
WNG,256,1908,1938
Taube,257,2222,2172
ec24,258,2113,2088
neko_nyaa,259,1940,1959
anayMehrotra,260,1943,1960
Sindweller,261,2016,2013
ParsaA,262,2067,2051
leaf1415,263,1923,1944
DicksOut4Harambe,264,2069,2051
Numb,264,2123,2092
suibaka,266,1967,1974
jma127,267,2129,2096
VankaTaganai,268,1976,1979
ImaniAm,268,1991,1990
ollpu,270,2043,2029
paulinia,271,2029,2018
ami,272,1975,1977
ernestvw,273,1900,1922
just_soso,274,2138,2100
shoemakerjo,275,2229,2170
min1013,276,1937,1947
fpdqwq,277,2128,2091
bk2dcradle,278,2187,2136
Em00n,279,2011,2000
noxwell,280,1998,1990
yashChandnani,281,2173,2124
Danylo99,282,2117,2080
Juve45,283,1981,1975
aabdelzaher,284,2010,1997
LeCaRiBoU,285,2067,2040
VladProg,286,2138,2094
win11905,287,2048,2024
Rudy420,288,2137,2093
123a6bcw,289,1939,1941
RobeZH,290,2187,2131
Karasick,291,1916,1923
Tiramister,292,1949,1947
Snipx,293,2040,2015
minblue,294,2109,2068
matthew99,295,2739,2564
ianCK,296,1921,1924
Filyan,296,2200,2139
FCB1234,298,2359,2265
Gold_Three_Fat,299,2016,1994
Tonks,300,1959,1949
stefdasca,300,1958,1948
ltf0501,300,2058,2025
valkyrie,303,2122,2075
nitesh_gupta,304,1908,1906
bill_kondo,304,1942,1931
Vovuh,304,2093,2048
laurageorgescu,304,2234,2161
_LeMur_,304,2233,2160
BC_,304,1974,1956
Krisha,304,1973,1955
CARLAO_BORRACHA,304,2231,2158
chpipis,312,2130,2075
mhDii,312,1925,1915
roman.kolganov,312,1950,1935
vanogam,312,1981,1958
cescmentation_folch,312,2273,2190
johnathan79717,312,2109,2058
omidazadi,318,2262,2179
DmitryGrigorev,318,2227,2151
evpipis,318,2034,1996
AminAnvari,318,2058,2015
tube_light,318,2002,1971
zhouzhendong,318,1951,1932
adedalic,324,2375,2269
n_dao107,325,1904,1894
max_flow,325,1914,1902
Jeel_Vaishnav,325,2111,2056
mr.stefan,328,1900,1889
pavel.savchenkov,328,2396,2284
Makcum888,328,1909,1896
Omar_Elawady,328,1934,1915
xuanquang1999,332,2235,2153
mtsd,332,1981,1949
Maxon5,332,2149,2084
Vicennial,335,1905,1888
cristb,335,2031,1986
rahuldugar,335,2010,1970
PikMike,335,2067,2015
Saboon,335,1987,1952
pedroteosousa,340,2023,1978
philologist,340,1927,1902
Mohammadreza_mz,340,1985,1947
rumblefool,340,2089,2031
abhishek_saini,340,2157,2086
killer_god,345,1907,1885
shayan.p,345,2125,2059
MauricioC,347,2319,2216
Roundgod,347,2134,2065
zhongzihao,347,2361,2250
lazyc97,347,1965,1928
Hiasat,351,2193,2112
hank55663,351,2162,2087
caoyuan,351,1961,1924
Panda_Bear,354,1969,1929
nimphy,355,1919,1887
gs15120,355,1910,1879
JiangYu,355,1916,1884
Brimix,355,1919,1887
Batrr,355,2185,2103
yordanlp,355,1903,1874
abisheka,361,2230,2139
Amaryllis,361,1994,1944
gafeol,361,1964,1920
spj_29,361,1963,1919
s_h_shahin,365,1953,1910
R.kh2002,365,1934,1895
sparkuggz,367,2104,2033
Vendetta.,368,1912,1875
rednivrug15,368,1958,1912
Grzmot,368,2109,2036
Definitely_Not_Ngkan146,371,2188,2102
mathusalen,372,1902,1865
Hyperbolic,372,2120,2044
ericxu0,374,2162,2079
bibibi,375,2002,1945
duckladydinh,376,1983,1929
prince_of_crows,377,1919,1875
I_love_myself,377,1903,1862
Reyna,377,2722,2530
EliteWantsYou,380,1903,1862
Mateuszrze,381,2301,2192
metatron,381,2071,2000
sempav,383,1958,1904
dened,383,1994,1934
M.Mahdi,385,2491,2345
xBorox1,386,1944,1891
ialakhtin,386,2162,2074
_Dragon_,388,2041,1971
edogrigqv2,388,1942,1888
Lius,388,1954,1898
perekopskiy,391,2003,1937
satanic0,391,2064,1989
pulkitjain,391,1908,1857
Stakinvario,394,1959,1899
progmatic,394,2160,2069
imAnik,396,1979,1915
MeshOmarYasser,397,2201,2103
ushakov.fedor,397,2177,2083
slonichobot,399,1915,1859
dsgsjk,400,1971,1906
MegaBidoof,401,2113,2027
noDreams,402,2057,1979
Dmaxiya,403,1955,1890
tob123,403,1937,1875
txingml,405,2108,2021
Jatana,406,1999,1927
s34vv1nd,407,1977,1907
Hennkka,408,1948,1882
raja1999,409,1970,1900
MysteryGuy2,410,2038,1959
Mustang98,411,2065,1982
xxxxxxmk,412,1926,1860
domhieu,413,1967,1895
gioto,414,2115,2024
MASR,415,1911,1845
Tom--CCS,416,2067,1981
hugo_pm,417,2057,1972
KrukovAA,418,2139,2043
Deanamic_Programming,418,2144,2047
Jon,420,1965,1890
teqwve,421,1994,1915
ransewhale,422,1932,1859
jt3698,423,1980,1901
Akikaze,424,2047,1960
kempusss,425,1979,1899
vhnvn,426,1904,1832
mareksom,427,2746,2538
joomas,428,2067,1976
Mahir83,429,1974,1892
elizarov,430,2122,2023
sggutier,431,1934,1855
Temurbek_Khujaev,432,1938,1858
xolm,433,2316,2187
Alex_2oo8,433,2671,2476
k__mas,433,2163,2055
funtik,433,2061,1964
ZeroTwo,433,1969,1880
akulsareen,433,2375,2236
walnutwaldo20,433,2113,2010
orz_liuwei,433,2098,1997
Rawnd,433,2043,1947
up-and-down,433,2144,2038
ahcl123123,433,2011,1918
