handle,rank,oldRating,newRating
semiexp,1,1947,2188
kutengine,2,2041,2233
rowdark,3,2516,2581
YuukaKazami,4,2733,2749
mruxim,5,2330,2423
Dmitry_Egorov,6,2378,2455
TankEngineer,7,2437,2499
Shik,8,2494,2540
Um_nik,9,2278,2376
j_______________________,10,1715,1950
LayCurse,11,2403,2466
qwerty787788,12,2384,2450
Stilwell,13,2052,2207
superfish,14,1777,1998
hogloid,15,2224,2329
zeliboba,16,2178,2295
Swistakk,17,2171,2289
Gullesnuffs,18,2413,2461
kcm1700,19,2429,2471
wjh720,20,2174,2288
Marcin_smu,21,2388,2438
E621,22,2164,2279
kostya_by,23,2275,2356
data_h,24,2451,2477
W4yneb0t,25,2321,2385
BSBandme,26,2190,2293
FancyCoder,27,1974,2140
zhanyl,28,2116,2239
AngryBacon,29,2312,2373
UESTC_Nocturne,30,2305,2367
qph-Jeremy,31,1921,2098
Timur_Sitdikov,32,2134,2248
kawatea,33,2183,2281
liympanda,34,2575,2536
gchebanov,35,2382,2411
Orfest,36,2358,2394
package.zaic,37,2173,2270
TIanLiangLe,38,2059,2191
phtniit,39,2157,2257
anta,40,2344,2379
James,41,2296,2347
vfleaking,42,2435,2434
ffao,43,2179,2267
Nikitosh,44,2161,2254
dreamoon,45,2465,2446
I_love_Tanya_Romanova,45,2333,2365
Merkurev,47,2277,2326
malcolm,48,2312,2347
SirShokoladina,49,2455,2433
Karoluch,50,1980,2127
Ilya_MSU,51,2164,2249
azizkhan,52,2300,2334
YaphetS_Pis,53,1726,1936
wannafly,54,2166,2248
mmaxio,55,2557,2495
lchf,56,1714,1925
MinakoKojima,57,2089,2195
guille,58,2063,2177
Madiyar,59,2005,2137
wo_,60,2075,2183
ikatanic,61,2466,2416
gustav,62,1921,2078
laoriu,63,2052,2166
Rubanenko,64,1938,2088
ssmike,65,2210,2263
cxlove,66,2193,2252
ysymyth,67,2067,2172
Gassa,68,2108,2197
kuangbin,69,2173,2237
NuM,70,2060,2165
ilyakor,71,2423,2375
panyuchong,72,1820,1999
SkyDec,73,1949,2089
Altria-PenDragon,74,1898,2054
Corei13,74,2038,2147
tuna_salad,76,2291,2297
alpq654323,77,1730,1927
prof.PVH,77,2141,2209
---Grigor---,79,2017,2130
foreseeable,80,2123,2195
MissMyDearest,81,2000,2117
aidos,82,1885,2039
Vladyslav,83,2174,2223
marat.snowbear,84,1997,2113
dnk,85,2266,2272
lythanh,85,1994,2111
Alick,87,1735,1926
chaos_king,88,1944,2076
Death_Knight_DK,89,1841,2004
Sunnat,90,1728,1919
Vlad_kv,91,1728,1918
SergeyRogulenko,91,2627,2532
lawrenceli,93,1934,2066
mathlover,94,2054,2141
fwm94,95,1999,2106
scorpion,96,2075,2152
Hwhitetooth,97,2096,2164
kriii,97,2042,2131
Merlininice,99,2276,2261
JayYe,100,2102,2164
For_the_Love,101,2128,2178
meow,102,1873,2019
chaotic_iak,103,1890,2030
mareksom,104,1911,2043
yokozuna57,105,1847,1999
SebP,106,2029,2116
wook,107,1718,1902
Myungwoo,108,2181,2201
ibra,109,1939,2058
ichyo,110,2165,2190
seyedparsa,111,2021,2107
ballon,111,2181,2197
ShayanH,113,2177,2193
fenzhang,114,1807,1965
architkarandikar,115,2094,2146
logicmachine,116,2131,2166
mrtempo,116,2030,2109
Real_A_Madrid,118,1910,2033
AliD,118,1721,1899
AminoAcid,120,2100,2145
gkevinyen5418,121,1840,1984
hehaodele,122,1753,1921
kolina,123,1926,2040
bdzl,124,2112,2148
Alireza,125,1861,1996
Kuroba.Kaito,126,1868,2000
fruwajacybyk,126,1946,2051
slycelote,128,1995,2079
Pand9,129,1755,1919
pvthuyen,130,1722,1893
VolodymyrK,131,1702,1877
Mikester,132,1945,2046
zld3794955,133,1902,2019
m.radwan,134,2062,2112
junkbot,135,1915,2025
yosupo,136,2196,2179
novice_3,137,1704,1876
wwt15,138,1767,1923
hs484,139,1719,1886
squirtle,140,1712,1880
2011022322,141,1804,1948
Apsara,142,2207,2177
Arterm,143,2245,2194
2011022631,144,1719,1884
kt-9,145,1714,1879
thefacetakt,146,1921,2021
vilcheuski,147,1946,2036
randomusername,148,1725,1886
openxxx,149,1945,2035
zcontnet,150,1930,2025
bayleef,151,2247,2191
naagi,152,1927,2021
leviathan,153,1777,1922
y__y,154,1716,1876
sfiction,155,1819,1950
tloinuy,156,1886,1993
Doju,157,1716,1875
RetiredKid,158,1991,2055
PAP,159,1722,1878
Sugardorj,160,1892,1994
PlayLikeNeverB4,161,1813,1942
MrDindows,162,2219,2165
aid,163,2090,2102
pkwv,163,1703,1861
........................,165,1800,1931
sweetsc,166,2009,2059
moonlight131,166,2200,2150
IgorL,168,2031,2068
kmy,169,1830,1949
cbx,170,1875,1977
atetubou,170,2161,2128
sergio3010,172,2128,2112
Taube,173,1910,1997
ITX351,173,1839,1953
noel_trang,175,1730,1876
zhsh,176,1869,1970
HMAXS,177,1765,1900
zeosutt,178,1704,1855
trungda,178,1792,1918
sola_93,180,1768,1900
minh141198,181,1760,1894
ross,182,1827,1939
SoroushE,182,2055,2069
ptnk_1215_panaka_13,184,1731,1872
Ra16bit,184,2230,2166
Simplex,186,1797,1917
maksay,187,2335,2251
Milanin,187,2348,2262
tabasz,189,1945,2006
LiTi,190,1983,2026
SF-_-,191,1857,1953
xrz199721,192,1898,1977
AlexDmitriev,193,2133,2094
DBradac,194,1828,1933
ainu7,194,2450,2343
nk.karpov,196,2032,2046
jianmodgqb,197,1735,1868
wanbo,197,2031,2045
wyx528,199,1720,1856
Nero,199,2183,2123
Yukii,201,1937,1994
19891101,201,2009,2031
Hasan0540,201,1836,1934
I_dont_have_girlfriend,204,1996,2022
hjx1212,205,1947,1996
Belonogov,205,2189,2126
Touma-Kazusa,207,1761,1881
woshidaruobi,208,1735,1862
yjc9696,208,1780,1893
mymelody,208,1818,1918
otero1991,211,1895,1963
Balseraph,212,1748,1869
Aiyuyan,213,1700,1834
hongrock,213,1915,1973
KrK,213,2319,2230
xiaohao123,213,1895,1962
zhuohan123,217,2079,2051
Melnyk,217,1730,1854
FAndy,219,1822,1915
ADJA,220,2026,2025
a654889339,220,1883,1951
SlavaSSU,222,1759,1871
nurzhands,222,1743,1860
NovChaos,224,1704,1831
WHITE2302,224,2097,2052
alexkru,226,1735,1852
hiukim,227,1990,2002
shamir0xe,228,1749,1861
drazil,228,2010,2011
ayaze,230,1724,1843
keavil,231,1986,1997
meijun,231,2090,2043
ikbal,231,1953,1981
aeremin,234,1706,1827
zjutlgw,234,1747,1857
acherepanov,236,2275,2188
lwd_acm2013,236,1749,1857
delta_4d,236,1851,1922
Balajiganapathi,239,2005,2001
striver,240,1944,1970
kybconnor,241,2187,2114
kostka,242,2062,2022
mymymy,243,1746,1851
sayhellotoanshu,244,1724,1835
Salvare000,245,1824,1901
KarlisS,246,1962,1975
Misha100896,247,1755,1855
Nike_VML,248,1803,1886
darkhh,249,1947,1966
anuraganand,249,1781,1871
RomaWhite,251,2334,2232
hlwt,251,2115,2053
lsmll,253,1716,1825
darkshadows,254,1714,1823
lester,255,1743,1843
cki86201,256,2045,2004
igogo,257,2059,2009
Shangke7788,258,2117,2053
Lukasz16a,259,2109,2046
yzyz,259,1947,1959
ahmad_mamdouh,261,1809,1882
Darooha,262,1740,1837
japh,262,1884,1925
zbwmqlw,264,1914,1939
.o.,265,2357,2249
Rojo,265,1872,1916
abhi170893,267,1712,1815
vodanhna,268,1824,1887
cmd,268,2316,2213
AcmerArthur,270,1875,1915
yyf,271,1728,1824
Artifere,271,1743,1834
Ringod,273,1701,1804
YogyKwan,274,1844,1895
mHuman,275,1752,1838
FerranAlet,276,2008,1974
ashpsycho,277,1839,1891
venus.le197,278,1738,1827
GeKa,279,1991,1965
aladdin3,280,1742,1829
sugim48,280,1751,1835
sikander_nsit,282,1861,1900
Shark,283,1730,1819
Rafiki53,284,1829,1881
zhyang,285,1886,1911
UESTC_lyhyp,286,1897,1916
Lo_R_D,287,1708,1802
Silence_Walker,287,1725,1814
yangff,289,1739,1822
Skird,290,2019,1968
HandIeNeeded,291,1937,1933
zerotrac,291,2044,1987
6eJIa9IzZzTeHb,293,1757,1832
enrevol,294,1849,1886
sd0061,295,2186,2101
sweetdum,295,1722,1807
yummy,297,2094,2025
ZEROm,298,1773,1839
map,298,2230,2136
HS_Jeong,298,2005,1956
CST14-xtestw,301,1730,1810
Rotsor,301,1748,1822
sanyam,303,1801,1853
VladYagl,304,1783,1842
yuusti,305,1952,1930
wjfwzzc,305,1787,1844
isti757,307,1732,1808
Satayev,308,1729,1805
suiyuan2009,309,1805,1852
KFDong,309,1771,1832
Snicker,309,1911,1909
islands,312,1767,1828
Pevko_Communism_Zavodick,312,1891,1896
og.kostya,314,1722,1797
jasperH,314,1782,1836
accelerator,316,2000,1946
adurysk,316,2134,2054
Sokolov,316,1740,1808
givka45,319,1737,1805
pscs27,319,1700,1780
skrydg,321,2005,1948
yoones.rezaei,321,1766,1822
zetamoo,321,1755,1815
Hachiikung,321,2104,2028
sokian,321,2048,1982
Monyura,326,2245,2142
Scau-Ly,326,1898,1892
gvalentiny,326,1742,1804
Ferathorn,326,1950,1914
niquefa_diego,326,2272,2165
Lisz_12,331,1779,1825
glebushka98,331,1735,1797
kmjp,331,2224,2124
temich,334,1721,1786
nju_v_o_f,335,2128,2045
zerokugi,335,2018,1955
NEIL74,335,2021,1958
bill125,335,2082,2007
namnnamn,335,1855,1864
choice,340,1911,1888
jehad131,340,1985,1928
alpc128,342,1794,1827
Nika86,343,1765,1810
Landertxu,344,2041,1972
pokorski,345,1753,1801
tenstep,345,1979,1922
Na2a,347,1747,1796
20111114,347,1750,1798
quasisphere,349,1740,1791
whd,349,2028,1960
llaki,349,1982,1923
No_stop,352,1726,1780
sluki,353,1721,1777
Golovanov399,354,2015,1949
Snarl_jsb,355,1766,1804
zjiekai,356,1755,1796
Tifuera,357,1733,1782
rantd,357,1814,1830
noah07,359,1738,1784
CNWSYCF,359,1701,1760
Rivx,361,2213,2109
jiu-ye1,362,1705,1761
M.Mahdi,362,1768,1801
R.xddddddd,364,1851,1846
IvL,365,2330,2222
desmond,366,1744,1784
HellKitsune,366,2059,1982
qgx446738721,366,1726,1773
fts96,369,1853,1844
WCG,370,2168,2071
zhanglg,370,1761,1792
JongMan,370,1827,1829
savinov,373,1978,1915
tjake,374,1710,1759
phantom11,375,1808,1816
VladimirVladimirov,376,1755,1786
constroy,376,1706,1755
Hero,378,1709,1756
sereja589,378,1704,1753
youyl2,378,1716,1760
wanxiaowei,381,1751,1781
Juventus,382,1706,1752
WARenie,383,1737,1771
akashdeep,384,1860,1838
PineappleHead,385,1935,1878
y9052541,386,1728,1764
topkek,386,1731,1766
ItsLastDay,388,1799,1804
mathjohnfh,388,1715,1755
Yoona,388,1951,1890
Ruki,391,1762,1782
win_ay39,392,1808,1807
dusty.and.rusty,392,1738,1767
Glaceon08,394,1741,1768
razia_sultana,394,1727,1759
Candy,394,1710,1748
balakrishnan,394,1837,1821
deMatos,398,1866,1832
azneyes,399,2001,1929
bottomcoder,399,1729,1758
shanquan2,401,1851,1823
randan,402,1705,1741
dyc,402,1752,1770
craig04,402,1714,1747
jyk,402,1792,1792
Lee_vincent,406,1810,1800
hwq1352249,406,1744,1763
S.Yesipenko,406,2026,1948
alexpizarroj,406,1740,1761
NickH,406,1734,1757
Zool,411,1700,1733
nfssdq,412,2049,1966
ImaDra,412,1723,1747
lucaslima,412,1800,1792
luoruixuan,415,1901,1844
tyamgin,415,1993,1919
s15281h,417,1838,1808
Mohamed.Bassem,418,1700,1730
RamTararam,419,1740,1754
lclan,419,1736,1751
lee_vincent01,421,1706,1732
DXY,422,1749,1757
Ryan_MuQ,423,1815,1793
kayesjay,423,1710,1733
BananaTree,423,1830,1800
domen111,426,1721,1739
mhss,426,1899,1841
xiaohao321,428,1860,1811
Kreyyy,429,1915,1853
Wine93,429,1716,1734
Epiq,429,1701,1725
1234567891,432,1716,1733
Temirulan,432,1780,1770
sunshuo,434,1709,1727
naggar,435,1739,1745
catlak_profesor_mfb,436,1745,1748
adelnobel,436,1797,1777
ramntry,438,1704,1722
SimB4,438,1737,1742
M0sTik,440,1759,1754
dAC.,441,1737,1740
sshekh,442,1723,1732
zhangtianyong,443,1732,1736
daidao,444,1745,1744
wwwsealss,445,1757,1751
suanrong,445,1912,1847
NUOUN,447,1713,1723
aliasadiiii,447,1886,1826
kv7,447,1825,1784
a275909044,450,1741,1739
tunyash,451,2241,2134
sas4eka,451,1841,1790
Empress,453,1729,1729
hiyot,453,1804,1771
pps789,455,1750,1741
b92paul,456,1771,1752
gpac,456,1760,1746
a8745000,458,1729,1728
victor_kzk,458,1753,1741
thermal,458,1769,1750
ZxZx,461,1745,1735
Lazzaro,462,1731,1727
m17,462,1703,1709
koensw,464,1705,1709
JCPWFLOI,465,1762,1743
veckal,465,1716,1716
_rabbit,467,1936,1863
dumpling,467,1745,1732
excelsior,469,1771,1745
Css,469,1765,1742
xsj4cs,471,1849,1791
NelsonMondialu,472,1747,1731
behzad.nouri,473,1939,1865
DemiGuo,473,2033,1942
yada,475,1779,1746
_Lelouch_Vi_Britannia_,475,1728,1718
crystal_mis,477,1931,1858
wwt100,478,1762,1735
lamphanviet,479,1833,1777
yubowenok,480,2040,1947
bli0042,481,1752,1729
fushar,481,2062,1965
sakib_rulez,481,2019,1929
Tedeza_Rize,481,1767,1736
Iris_Zeng,485,1710,1703
Wizmann,486,1718,1707
TangJustin,486,1773,1737
MAXX,488,1773,1736
icerain94,489,1715,1703
Lweb,490,1937,1860
greatwall1995,490,1957,1877
reus,492,1863,1799
Oryshych,493,1903,1832
nf17,493,1712,1700
arswt,493,1702,1694
mic_s,493,1909,1837
pkqs90,493,1893,1823
IMAN_GH,493,1720,1704
Andrekk,493,1763,1728
Farnham,493,1757,1725
DanielChau,493,1704,1695
Albafica,493,1717,1703
hjy96,493,1746,1719
lemonsqueeze,493,1746,1719
zaspagety,493,1733,1712
zhangchenxu,506,1782,1731
shiyuan,506,1709,1691
Xellos,506,2315,2207
mxh1999,506,1755,1717
Haghani,506,1979,1893
wyl8899,511,2115,2009
zhangxiaohao,511,1709,1689
last_one,513,1787,1714
TheRedGuy,513,1773,1702
Kianoosh,513,1965,1863
