handle,rank,oldRating,newRating
Um_nik,1,3203,3297
300iq,2,2600,2795
mcfx,3,2884,2977
ksun48,4,2935,2995
FCB1234,5,2410,2594
aid,6,2824,2886
mmaxio,7,2620,2724
rndspec,8,1938,2248
Petr,9,3233,3161
I_love_Tanya_Romanova,10,2859,2877
Kaban-5,11,2414,2543
amethyst0,12,2472,2579
rudy102,13,2425,2540
Shik,14,2861,2856
Miyukine,15,2081,2292
MrDindows,16,2517,2592
--d,17,2592,2643
uwi,18,2618,2658
AeonHQ,19,2459,2538
Golovanov399,20,2666,2687
matcegla,21,2051,2248
Mateuszrze,22,2244,2374
isaf27,23,2517,2567
desert97,24,2484,2540
bmerry,25,3071,2974
Cams,26,2100,2264
tlwpdus,27,2590,2610
neal,28,2356,2436
Motarack,29,2411,2473
Egor,30,3014,2920
queria_ser_abella,31,2306,2393
Gassa,32,2429,2479
xiaowuc1,33,2379,2440
kostka,34,2323,2398
xuanquang1999,35,2322,2395
ikatanic,36,2823,2764
nhho,37,2424,2465
Emiso,38,2150,2269
mbrc,39,2134,2256
HIR180,40,2441,2472
lessmeaning,41,2015,2173
negiizhao,42,2224,2310
HellKitsune,42,2668,2636
fedoseev.timofey,44,2044,2184
BigBag,44,2464,2480
Temirulan,46,2307,2364
Reyna,47,2281,2344
teja349,48,2432,2452
zhongzihao,49,2313,2363
irkstepanov,50,2387,2416
SaSa,51,2090,2203
MofK,51,2459,2466
Errichto,53,2692,2639
hloya_ygrt,54,2373,2400
JafarIsBack,55,2158,2245
Hoi_koro,56,2147,2236
volamtruyenkyii,57,2256,2311
mjhun,58,2563,2536
MauricioC,59,2085,2189
test616.cpp,60,2009,2138
E621,61,2440,2440
leign,62,2003,2131
applese,63,2306,2339
briansu,64,2128,2212
Jakube,65,2222,2276
sas4eka,66,2143,2219
Heart_Pink,67,2094,2184
pperm,68,2226,2275
yashChandnani,69,2255,2295
natsugiri,70,2424,2418
Lo_R_D,71,1994,2113
keko37,72,1973,2098
I_love_isaf27,73,2442,2428
cuber2460,74,2399,2395
Merkurev,75,2774,2677
g13,76,2135,2202
tfg,77,2066,2153
KrK,78,2518,2480
polingy,79,2068,2152
stasio6,80,2218,2256
aidos,81,2410,2396
Forestryks,82,2163,2215
MakArtKar,83,2065,2146
Taube,84,2132,2191
crhkr,85,2305,2314
fetetriste,86,2124,2182
yarrr,86,2081,2153
ATS,88,2304,2311
gasin,89,2138,2190
Batrr,90,2353,2345
nns2009,91,1901,2031
cerberus97,92,2358,2347
calabash_boy,93,2191,2224
mango_lassi,94,2426,2397
lastans,95,2459,2421
I_love_Maria_Ivanova,96,2140,2185
misztsu,97,2126,2174
greencis,98,2327,2318
AllCatsAreBeautiful,98,2526,2468
ykaya,100,2188,2215
ec24,101,2115,2162
falanga,102,2232,2245
lajiniunai,103,2147,2183
splucs,104,2159,2191
laurageorgescu,105,2240,2249
rui-de,106,2339,2321
olphe,107,2122,2162
_LeMur_,108,2027,2095
apink,109,2017,2088
marcospqlixo,110,1968,2054
darked,111,2127,2162
Lixoskywalker,112,1939,2033
kimden,113,2229,2234
JKS_PL,114,2229,2233
bugCollector,115,2369,2338
abeker,116,2279,2269
guille,117,2333,2309
leaf1415,118,1970,2048
thinfaifai,119,2020,2081
JOHNKRAM,120,2572,2489
Vicennial,121,2040,2093
Len,122,1919,2011
lis,122,2013,2073
kristapuciitis,124,2078,2117
Marckess,125,2142,2161
miseri,126,2087,2121
Tima,127,2261,2247
__creatnx,128,2164,2175
nonsequitur,129,1985,2049
allllekssssa,130,2066,2104
bazsi700,131,2386,2340
