handle,rank,oldRating,newRating
sslotin,1,1938,2158
Arthur,2,2213,2327
hloya_ygrt,3,2033,2168
asokol,4,1471,1758
Denisson,5,1824,1988
Fedosik,6,1956,2074
gepardo,7,2223,2264
kulpet345,8,1752,1911
Constantius,9,1943,2043
kek1234,10,1668,1840
Melnik,11,2049,2111
AndrNef,12,1952,2034
ivankrut856,13,1947,2026
xolm,14,1602,1776
N1k1_tos1_NA,15,1766,1887
Holidin,16,1765,1883
klinchuh,17,1900,1977
Xrite,18,1957,2016
nikvas,19,1812,1907
kefaa,20,2217,2204
aytel,21,1958,2009
ypavel31,22,2012,2046
Z38,23,2648,2513
tonykky,24,1912,1968
KyntsevichVova,25,1911,1965
CMaster,26,1943,1986
DenXman111,27,1856,1920
Lord_of_the_Chicks,28,1500,1668
I_love_isaf27,29,1587,1724
DeepCharon,30,1287,1531
tqjex,31,1915,1956
Vladik,32,2205,2171
haposiwe,33,1905,1945
YaDon4ick,34,1692,1789
Diazzz,35,1490,1648
Glebodin,36,1523,1669
altruist,37,1850,1898
equocredite,38,1721,1803
StarOrpheus,39,1508,1654
markysha,40,2067,2055
samatbor,41,1777,1839
Egor_Gornak,42,1625,1729
Bober,43,1794,1849
dani_bw,44,1805,1856
hamlet,45,1972,1978
poegva,46,1741,1807
OTTEBROT,47,1535,1661
winsome,48,1390,1565
ismagilov.code,49,1816,1858
Candelabra,50,1390,1563
cmashinho,51,1452,1601
Sanja,52,1844,1875
_index,53,1722,1785
Barsic,54,1835,1866
Penguin,55,1463,1603
Ed_Os,56,1798,1837
MRedor,57,1671,1744
perveevm,58,1603,1695
Fekete,59,1836,1862
Allors,60,1769,1812
GuralTOO,61,1670,1739
Prilog,62,1506,1624
NevMem,63,1590,1681
dprokopenko,64,1704,1761
Jatana,65,2004,1982
228_NAGIBDTOR_4x20,66,1500,1616
polka125,67,1620,1698
TOK,68,1816,1839
leonfed,69,1688,1745
RockyB,70,1656,1721
Alexicon,71,1500,1612
SuperMegaUltraEpicHacker,72,1732,1774
yell,73,1390,1538
lindlind,74,1546,1640
DmitryGrigorev,75,1681,1735
kvk1920,76,1601,1677
Batman2000,77,1598,1673
yerkimbekov,77,1418,1552
AwIDoK,79,1635,1699
alexxx998,80,1612,1682
K_Y_M_bl_C,81,1957,1934
Masha237,82,1500,1603
basfor2022,83,1484,1591
Remarque,84,1471,1582
alexey_kuldoshin,85,1500,1600
alkurmtl,86,1675,1722
T1mka,87,1518,1611
drjerk,88,1510,1605
ega.volk,89,1712,1747
as669kazan,90,1500,1597
Posos,91,1754,1776
I_LOVE_DANA,92,1391,1523
666Vitos999,92,1403,1531
Provet,94,1651,1699
Marchello,94,1618,1675
SergeyYakovlev,96,1201,1406
ValeriaHil,97,1714,1743
Smorgon,98,1577,1644
irevt,99,1676,1714
Kranya,100,1734,1756
Enterhei,101,1774,1785
