handle,rank,oldRating,newRating
wolf5x,1,1624,1702
RetiredKid,2,1516,1648
Oracle,3,1583,1682
GlebsHP,4,1606,1692
Juda,5,1563,1671
Myth5,6,1500,1657
lavin,7,1500,1657
SirRembocodina,8,1605,1690
pareshverma91,9,1500,1656
DreamFox,10,1551,1662
iloahz,10,1500,1655
bigeye,12,1586,1678
chnlich,13,1591,1681
tomcat,14,1557,1664
Seikang,15,1539,1654
toquangphuc90,16,1579,1673
Corea,17,1432,1590
DangTH,18,1596,1680
Rubanenko,19,1619,1689
keivan,20,1642,1698
09281129,21,1504,1632
arjunarul,22,1539,1650
lianlian,23,1500,1649
stoyanovd,24,1607,1681
Oryshych,25,1609,1682
budabudimir,26,1538,1648
todo,27,1631,1689
xcr,28,1643,1693
abhra,29,1470,1609
BaJIuK,30,1533,1643
prpr,31,1597,1673
vanchope,32,1602,1675
ferraritnl,33,1568,1659
kaushik.mv3,34,1631,1685
pulkitg10,35,1635,1686
beginner1010,36,1514,1630
Shahriar_sust,37,1647,1689
simonsyd,37,1500,1644
xenocideq,39,1500,1643
fookwood,40,1580,1661
nbuild,41,1500,1642
Konovalov_Nik,42,1407,1564
Serega,43,1579,1659
cfjhzcb,44,1500,1640
pavel13,45,1567,1652
Mars314,46,1321,1502
aRSeniy,47,1605,1667
dyussenaliyev,48,1591,1661
vilcheuski,49,1623,1673
tunyash,49,1613,1669
EvgeniusASPX,51,1629,1674
yahooo,52,1643,1678
NKolotey,53,1625,1671
Fessmax,54,1553,1641
Eugen,54,1605,1663
pewpew,54,1542,1635
masha,57,1647,1676
snguyen,57,1583,1653
IOI11,59,1473,1597
vici,60,1565,1643
tohuuquan,61,1597,1657
TMandzu,62,1514,1618
winardi,63,1618,1663
Zhuravlyov.A,63,1539,1630
Anarivu,65,1630,1666
malcolm,66,1590,1650
delta,67,1550,1633
Ahmed_Salama,68,1584,1647
Pancake,68,1515,1616
mongolrgata,70,1547,1630
RAF,70,1558,1635
valikluks1995,72,1544,1627
timmy,72,1619,1657
Tsumiman,72,1407,1552
hogeover30,75,1508,1609
chiemduybao,76,1605,1651
pratikmoona,77,1471,1588
kathyrine,78,1562,1632
eha,79,1505,1605
Verdona0,79,1509,1607
anton192,79,1608,1650
sementry,79,1601,1648
Ch0W,83,1644,1658
Diabolic,83,1537,1618
yarrow,85,1573,1634
PciXXX,85,1500,1623
nitin.gangahar,87,1598,1642
SkouB,88,1594,1640
lxn,88,1500,1621
