handle,rank,oldRating,newRating
a100,1,1707,1727
art-vybor,2,1502,1523
T-D-K,3,1520,1534
maxteneff,4,1508,1517
vladimirshushlin,5,1453,1461
darkxiv,6,1412,1418
IDontEnGoI,7,1571,1563
BatuPavl,8,1630,1610
Nicolay_R,9,1519,1507
ldinc,10,1469,1458
bmstuex,11,1511,1492
const.bel,12,1549,1521
ars,13,1535,1505
ish-vlad,14,1527,1495
stasiksis,15,1304,1288
Aden,16,1176,1163
Filins,17,1431,1399
