handle,rank,oldRating,newRating
Syloviaely,1,3002,3178
OO0OOO00O0OOO0O00OOO0OO,2,3152,3240
Petr,3,3265,3294
anta,4,2817,2950
matthew99,5,2672,2828
Reyna,6,2596,2759
ACRush,7,2765,2872
SanSiroWaltz,8,2404,2597
Um_nik,9,3165,3148
eds467,10,2313,2514
mcfx,11,2396,2567
snuke,12,2784,2846
Merkurev,13,2993,2994
natsugiri,14,2671,2751
yosupo,15,2791,2834
zigui,16,2328,2488
footo,17,2161,2365
neither,18,2105,2322
King_George,19,2361,2499
ksun48,20,2722,2762
KADR,21,2374,2500
AlexDmitriev,22,2861,2858
niike0goood,23,1926,2187
W4yneb0t,24,3272,3162
Radewoosh,25,3187,3094
OhWeOnFire,26,2403,2505
ko_osaga,27,2877,2855
al13n,28,2965,2918
--d,29,2481,2554
e-pluszak,30,2257,2387
amethyst0,31,2359,2459
__math,32,2194,2338
KrK,33,2401,2484
tun,34,2631,2653
akashdeep,35,2345,2436
duyboy135,35,2386,2467
SirShokoladina,37,2849,2810
DmitryBelikov,38,2106,2263
Kostroma,39,2728,2713
a_student,39,1998,2187
TearsFreeze,41,2096,2250
eilx2,42,2095,2247
linkct,43,2352,2427
Kaban-5,44,2570,2587
uwi,45,2846,2792
cjtoribio,46,2180,2297
Svyat,46,2121,2256
Rafbill,48,2391,2447
rajat1603,49,2636,2628
Vladik,50,2056,2206
Benq,51,2399,2448
msinghal,52,1944,2130
robinyu,53,2228,2321
marX,54,2371,2423
Jakube,55,1963,2137
chemthan,56,2340,2398
khadaev,57,2447,2475
fhlasek,58,2577,2571
sugim48,59,2594,2583
reality420,60,2192,2285
biGinNer,61,2299,2361
MZuev,62,2113,2227
tlwpdus,63,2092,2210
HellKitsune,63,2583,2568
halin.george,65,2031,2167
boook,66,1936,2104
Motarack,67,2241,2311
limuyang01,68,1964,2120
Neil,69,1939,2102
Tailz,70,2056,2178
tjw_girlfriend,71,2120,2220
AomeII,72,2033,2160
MadNick,73,2233,2298
OkitegamiKyoko,74,2045,2165
voover,75,2623,2585
kb.,76,2330,2364
frank_c1,76,2309,2349
idy002,78,2228,2288
Quang,78,2215,2278
DmitryGrigorev,80,2055,2165
namai,81,2312,2347
zhsh,82,2023,2140
ckw1140,82,2067,2170
spencer,84,2288,2326
ordyh,85,2032,2144
Matrix.code,86,1939,2082
CorrelationDecay,87,2398,2405
gepardo,88,2277,2314
wa1tz719,89,2061,2160
Swistakk,90,2540,2509
HYEA,91,2354,2368
