handle,rank,oldRating,newRating
cgy4ever,1,2439,2555
rng_58,2,2817,2851
PavelKunyavskiy,3,2629,2670
Egor,4,2500,2554
liympanda,5,2319,2405
Ra16bit,6,2371,2441
Endagorion,7,2187,2297
sillycross,8,1897,2074
Zlobober,9,2419,2472
Mex-Mans,10,2204,2306
Petr,11,2755,2729
mR.ilchi,12,2331,2399
ilyakor,13,2314,2385
hex539,14,2216,2310
rares.buhai,15,1944,2105
yarrr,16,2222,2312
mrNobody,17,2022,2163
zeliboba,17,2252,2333
Jokser,19,2131,2241
izban,20,2045,2177
_meshanya_,21,2170,2268
RomaWhite,22,2295,2357
snuke,23,2182,2274
Igel_SK,24,2124,2231
zcg.cs60,24,1933,2090
witua,26,2333,2378
KuroNeko,27,1862,2033
al13n,28,2505,2494
Merkurev,29,2258,2321
Real_A_Madrid,30,1760,1950
mirob,31,2012,2143
Kepnu4,32,2108,2211
mmaxio,33,2265,2320
NuM,34,2134,2227
sweiss,35,2044,2162
Eledven,36,1906,2061
Smit,37,1894,2051
niyaznigmatul,38,2598,2543
kickbutt,38,2290,2330
ffao,40,2049,2161
SillyHook06,41,1934,2078
Dmitry_Egorov,42,2549,2497
Marcin_smu,43,2405,2397
wrong,43,2365,2370
sinesight,45,2091,2186
Kujou_Karen,46,2099,2190
rowdark,47,2269,2303
RsEnts,47,1891,2041
zemen,49,2038,2145
stgatilov,50,2290,2312
Baklazan,51,1732,1914
hama-du,52,1819,1983
E621,53,1727,1909
Komaki,54,2401,2373
balakrishnan,55,1833,1992
pooya_,56,2094,2177
Flandre_Scarlet,57,1836,1993
AlexDmitriev,58,2060,2152
wuzhengkai,59,2365,2343
vlad107,60,2233,2262
glapul,61,2009,2115
espr1t,61,2046,2140
ania,63,2274,2283
Seyaua,64,2298,2296
ufo,65,1875,2016
cfy,66,2111,2178
Gassa,67,2023,2119
mislav_bradac,68,1727,1900
gs12117,69,2265,2269
For_the_Love,69,2021,2116
fsouza,71,2293,2283
kAc,72,2355,2315
fqw,73,2000,2098
cafelier,74,2233,2243
Copymaster,75,2174,2207
gchebanov,76,2104,2163
hanfei19910905,77,2008,2100
kyuridenamida,77,1958,2066
irwan_ap,79,1789,1942
guille,80,2235,2237
marcoskwkm,81,1901,2024
alpc104,82,1971,2072
I_love_Tanya_Romanova,83,2202,2214
Sampson,84,1972,2070
alpq654321,85,1740,1900
tloinuy,86,2153,2182
akdal,87,1763,1917
arosusti,88,2211,2213
VArtem,89,2281,2250
xyz2606,90,2019,2096
Tadrion,91,1827,1963
chnlich,92,2445,2376
knightL,92,2244,2226
Mr109,94,1759,1910
mkirsche,94,1931,2035
handojo1,96,2082,2129
siIlycross,96,2017,2089
NALP,96,2235,2216
JustN,99,1944,2040
iroro,100,2021,2088
_sunny,101,2008,2079
Silent_coder,102,1872,1988
Fcdkbear,103,2166,2170
Ilya_MSU,104,2180,2177
KhaustovPavel,105,2255,2214
Milanin,106,2327,2270
Serenade,107,1888,1996
llaki,108,1742,1888
alex-mercer,108,1926,2021
GlebsHP,110,2411,2339
lxyxynt,111,1893,1996
tuananh93,111,2124,2138
nhap96,111,1811,1938
pzzxj,114,1987,2055
fmm,115,1772,1907
mzry1992,116,1997,2060
douglasantos,117,1933,2018
evima,118,2271,2218
lxc,119,1830,1947
alpc164,119,1813,1935
jzc,121,1774,1905
forest,122,2115,2122
dreamyyou,123,1847,1956
momo_vn,123,2067,2094
xioumu,123,1788,1914
andrew.volchek,126,1939,2015
tworuler,127,1880,1976
riad,128,2111,2113
4nddr3,129,1725,1862
Kissshot,130,2048,2077
AlexanderL,131,1780,1903
MrDindows,132,2099,2103
klamathix,133,2079,2091
The_CodeBreakeR,134,1958,2021
KaiZeR,135,1710,1847
Vladyslav,136,2039,2067
Rubanenko,136,2017,2055
evgentu,138,2046,2068
lovelymoon,139,2074,2083
sd0061,140,1960,2017
Gatina,141,1917,1990
miketcyue,142,2222,2167
