handle,rank,oldRating,newRating
KADR,1,2376,2502
RAVEman,2,2605,2665
PavelKunyavskiy,3,2588,2634
Dmitry_Egorov,4,2504,2556
RAD,5,2465,2518
sy2006,6,2115,2241
mmaxio,7,2356,2425
AlexDmitriev,8,1969,2128
niyaznigmatul,9,2480,2518
RomaWhite,10,2192,2295
chnlich,11,2391,2445
kAc,12,2275,2355
James,13,2240,2327
dj3500,14,2278,2354
theBlindMonk,15,1833,2016
DamianS,16,2342,2399
cgy4ever,17,2476,2496
buko,18,2119,2231
Hujiwara,19,2074,2197
xyz111,20,1951,2104
mruxim,21,2107,2219
rowdark,22,2245,2318
AngryBacon,23,1959,2108
ramen-,24,2218,2296
riad,25,1914,2072
I-juice,26,2000,2136
hirosegolf,27,2255,2319
windhunterSB,27,1955,2102
For_the_Love,27,1880,2045
Mex-Mans,30,2129,2226
TeaPot,31,2027,2151
pty,32,2139,2230
logicmachine,33,2270,2320
Sfairat,34,1954,2095
Landertxu,35,2146,2233
lydrainbowcat,36,2278,2321
liympanda,36,2348,2368
Williamacm,38,1777,1956
CyberZHG,38,1758,1940
Egor,40,2724,2649
Anarivu,40,1756,1937
liouzhou_101,42,2242,2288
TankEngineer,43,2222,2274
Milanin,43,2266,2303
Monyura,45,2159,2229
chavit,46,2225,2272
maximkoval,47,1741,1921
forest,48,2072,2167
Enchom,48,1976,2100
witua,50,2127,2202
roosaphu,51,1904,2045
DAle,52,2003,2115
climpet,52,2098,2181
tiinthp,54,1801,1965
yxdb,55,1780,1947
poopi,56,1952,2076
Riatre,56,2277,2291
hanfei19910905,58,1991,2102
michal27,59,1878,2021
guizeyanhua,60,1734,1907
LinKin,61,1789,1951
huzecong,61,1881,2021
NateRiverxkh,63,1847,1994
hlwt,64,1959,2074
Kedin,65,1741,1910
ai00,66,2010,2108
izban,67,1987,2091
Eureka,68,2210,2233
knightL,69,2238,2249
this_isssssyy,70,2192,2220
wcwswswws,71,1921,2042
NEIL74,72,1844,1985
Sisu,73,2190,2215
CA72,74,2000,2094
gongbaoa,75,2050,2126
wo_,76,1875,2005
guille,77,2071,2137
muliguishou,78,1992,2085
snuke,79,2050,2122
aa2985759,80,2152,2184
natalia,80,2333,2288
chyx,82,1992,2083
evima,83,2304,2265
Vergissmeinnicht,84,1952,2053
shytangyuan,85,2090,2141
jolteon,86,1806,1947
squarefk,87,2059,2120
LGM,88,2274,2242
sune2,89,1952,2049
SkyFire,90,1939,2040
thocevar,91,1903,2014
Swistakk,91,1993,2075
crx,93,2003,2079
Fcdkbear,94,2112,2145
yanjieru,95,1733,1885
betaveros,96,1869,1987
ysyshtc,97,2105,2138
fushar,97,1924,2024
mzry1992,99,1887,1997
Vladyslav,100,1872,1986
permin,101,2110,2136
tunyash,102,2031,2089
Shef,103,2313,2259
dasko1,104,2161,2161
ryz,105,2030,2085
kickbutt,106,2267,2220
baolaoban,107,1727,1873
135678942570,108,1948,2031
lastenX,109,2114,2130
error202,110,1990,2056
cherudim9,111,1855,1966
tanzaku,112,1882,1984
scottai1,113,2399,2327
strongoier,114,1940,2021
UESTC_Nocturne,115,2310,2251
Jokser,116,2130,2131
LoveZx,117,1793,1917
MainDullMoeHand,118,1942,2019
dawidp,119,1794,1917
fitter,120,1937,2015
Romka,121,2299,2239
komarov,122,1866,1966
olimpo,123,1777,1902
Shtrix,124,1977,2036
KungA,125,1870,1967
feyat,126,1716,1853
discover.,127,1750,1879
dancho,128,1984,2037
rcx92,129,2048,2073
Eternal_Answer,129,2000,2046
nurzhands,131,1900,1982
akashin,132,1830,1934
DebutantGY,133,1707,1841
yejinru,134,1727,1857
Azras,135,2010,2046
Timer,136,1770,1888
gh_ost,137,1709,1841
tyamgin,138,2065,2074
walk_upon,139,1771,1887
pkqs90,140,1797,1905
seanwu,140,2289,2223
hechuan,142,1826,1925
I_love_Tanya_Romanova,143,2087,2081
marat.snowbear,144,1783,1893
vitux,145,1847,1937
Parsa.pordel,146,1745,1863
mihaipopa12,147,2013,2037
indy256,147,2022,2042
qwaker.00,149,1993,2024
yosupo,150,1737,1855
SergeyLazarev,151,2160,2113
Avitella,152,1843,1929
WildUtah,153,1797,1897
naagi,154,2047,2049
Beriand,155,1819,1911
