handle,rank,oldRating,newRating
AngryBacon,1,2633,2876
dreamoon,2,2711,2887
sd0061,3,2496,2706
W4yneb0t,4,3226,3218
Um_nik,5,2992,3032
mnbvmar,6,2989,3018
SkyDec,7,2786,2859
Rafbill,8,2486,2632
chitanda,9,2280,2475
BudAlNik,10,2296,2479
Altria-PenDragon,11,2428,2567
FCB1234,12,2322,2484
MemS,13,2304,2465
V--o_o--V,14,2912,2905
yfzcsc,15,2165,2357
J.T.J.L.,16,2267,2424
shanquan2,17,2034,2260
HYPERHYPERHYPERCUBELOVER,18,2919,2894
al13n,19,2855,2843
gtwgtw,20,2053,2260
Andrew_Makar,21,2326,2445
Radewoosh,22,3148,3053
zscoder,23,2434,2517
Swistakk,24,2652,2675
Make_You_Great_Again,25,2051,2241
eddy1021,26,2704,2708
shb123,27,2226,2355
300iq,28,2361,2449
hogloid,29,2666,2672
Kaban-5,30,2490,2539
jtnydv25,31,1933,2149
Wild_Hamster,32,2208,2329
MohamedZain,33,2009,2192
unused,34,2474,2518
natsugiri,35,2679,2668
irkstepanov,36,2181,2301
matthew99,37,2894,2826
ACRush,38,2872,2808
oipotato,39,2041,2199
TeaPot,40,2623,2616
jufusong,41,2247,2337
cjtoribio,42,2202,2303
ljsss,43,2132,2253
Hujiwara,44,2198,2297
Phronesis,45,2384,2430
yancouto,46,2299,2366
Endagorion,47,2777,2720
ErdemKirez,48,2238,2318
acyume,49,1920,2103
__creatnx,50,2136,2243
ainta,51,2711,2665
ksun48,52,2788,2721
ayaze,53,2197,2281
Ilya_MSU,54,2280,2339
frankbozar,55,1902,2082
khadaev,56,2459,2468
radoslav11,57,2205,2281
Nero,58,2550,2534
BigBag,59,2290,2340
grumpy_gordon,60,2337,2371
--d,60,2496,2489
abeker,62,2247,2304
WA_TLE,63,2203,2271
mHuman,64,2086,2188
noor049,65,2166,2243
wakaka,66,2296,2335
mosfjh,67,1994,2123
junis3,68,2034,2148
wiwit,69,2210,2268
Totoro,69,2451,2445
LochNess,71,2156,2228
sqrtdecompton,72,2125,2205
SirShokoladina,73,2804,2709
triploblastic,74,2140,2213
VladaMG98,75,2103,2186
cephian,76,2114,2193
Baba,77,2157,2222
dnvtmf,78,1955,2084
cxaphoenix,79,2200,2250
sunjam,80,2316,2332
shadowatyy,80,2178,2231
faebdc,80,2375,2376
Timemaster,83,1996,2105
glebushka98,84,2170,2224
rtilikay,85,1955,2076
zeliboba,86,2701,2618
nguyenthibanh,87,2165,2217
kmjp,88,2570,2517
jvjhfhg,89,1994,2097
AeonHQ,90,2043,2129
Luqman,91,2052,2134
mmaxio,92,2742,2644
yasugongshang,93,2030,2117
ShinriiTin,94,2134,2188
joyfun,95,2145,2195
nigus,96,2160,2205
M.Mahdi,97,2396,2378
RamTararam,98,2185,2221
2018findgirlfriend,99,2092,2154
chenjb,100,2063,2133
guille,101,2273,2283
DraZxlNDdt,102,2063,2130
AndreySergunin,102,2367,2352
ajs97,104,1977,2071
ivan100sic,105,2348,2336
egor.lifar,106,2124,2169
Amayoneko,106,2086,2143
Tian.Xie,108,2100,2151
BitHashTech,109,1920,2029
I_love_Maria_Ivanova,110,2030,2101
fragusbot,111,2007,2085
marX,112,2375,2351
meeeep,113,2121,2162
Tehnar,114,2110,2154
AllCatsAreBeautiful,115,2481,2429
aytel,116,2156,2185
CoDeRoK,117,1996,2071
768092,117,2084,2132
ian9696,119,2009,2079
Rafiki53,120,2208,2220
p4v31,121,2044,2101
Inventure,122,2310,2295
fastcoder,123,2273,2266
HandsomeHow,124,1970,2049
Vercingetorix,125,2612,2522
lx_ambulance,126,2002,2068
PraveenDhinwa,127,1926,2017
